Voltage,Current,Temperature,Capacity,WhAccu,Cnt
4.18144,-0.04597,38.38286,0,0,4
4.18076,-0.08173,38.38286,0,-0.00001,4
4.18059,-0.09195,38.38286,-0.00001,-0.00002,4
4.18042,-0.0945,38.38286,-0.00001,-0.00003,4
4.18042,-0.0945,38.38286,-0.00001,-0.00005,4
4.18042,-0.0945,38.38286,-0.00001,-0.00006,4
4.18042,-0.0945,38.38286,-0.00002,-0.00007,4
4.18026,-0.09706,38.38286,-0.00002,-0.00008,4
4.18026,-0.0945,38.38286,-0.00002,-0.00009,4
4.18026,-0.0945,38.38286,-0.00002,-0.0001,4
4.18026,-0.09706,38.38286,-0.00003,-0.00011,4
4.18026,-0.0945,38.38286,-0.00003,-0.00012,4
4.18026,-0.0945,38.38286,-0.00003,-0.00013,4
4.18026,-0.0945,38.38286,-0.00003,-0.00014,4
4.18026,-0.09706,38.38286,-0.00004,-0.00016,4
4.18026,-0.0945,38.38286,-0.00004,-0.00017,4
4.18026,-0.0945,38.38286,-0.00004,-0.00018,4
4.18026,-0.0945,38.38286,-0.00005,-0.00019,4
4.18026,-0.0945,38.38286,-0.00005,-0.0002,4
4.18009,-0.09706,38.38286,-0.00005,-0.00021,4
4.18009,-0.0945,38.38286,-0.00005,-0.00022,4
4.18009,-0.0945,38.38286,-0.00006,-0.00023,4
4.18009,-0.0945,38.38286,-0.00006,-0.00024,4
4.18009,-0.0945,38.38286,-0.00006,-0.00025,4
4.18009,-0.09706,38.38286,-0.00006,-0.00027,4
4.18009,-0.0945,38.38286,-0.00007,-0.00028,4
4.18009,-0.09706,38.38286,-0.00007,-0.00029,4
4.18009,-0.0945,38.38286,-0.00007,-0.0003,4
4.18009,-0.0945,38.38286,-0.00007,-0.00031,4
4.18009,-0.0945,38.38286,-0.00008,-0.00032,4
4.17874,-0.16602,38.38286,-0.00008,-0.00034,4
4.1779,-0.20944,38.38286,-0.00009,-0.00036,4
4.17773,-0.22221,38.38286,-0.00009,-0.00039,4
4.17756,-0.22476,38.38286,-0.0001,-0.00041,4
4.17756,-0.22476,38.38286,-0.00011,-0.00044,4
4.17739,-0.22476,38.38286,-0.00011,-0.00047,4
4.17739,-0.22476,38.38286,-0.00012,-0.00049,4
4.17739,-0.22476,38.38286,-0.00012,-0.00052,4
4.17739,-0.22731,38.38286,-0.00013,-0.00054,4
4.17722,-0.22476,38.38286,-0.00014,-0.00057,4
4.17267,-0.49294,38.38286,-0.00015,-0.00063,4
4.16947,-0.65896,38.38286,-0.00017,-0.0007,4
4.16829,-0.70748,38.38286,-0.00019,-0.00078,4
4.16795,-0.7177,38.38286,-0.00021,-0.00086,4
4.16778,-0.72281,38.38286,-0.00023,-0.00095,4
4.16761,-0.72281,38.38286,-0.00025,-0.00103,4
4.16745,-0.72281,38.38286,-0.00027,-0.00112,4
4.16728,-0.72281,38.38286,-0.00029,-0.0012,4
4.16711,-0.72536,38.38286,-0.00031,-0.00128,4
4.16711,-0.72281,38.38286,-0.00033,-0.00137,4
4.16037,-1.10592,38.38286,-0.00036,-0.00148,4
4.15632,-1.30514,38.38286,-0.00039,-0.00163,4
4.1548,-1.37155,38.38286,-0.00043,-0.00179,4
4.15413,-1.39198,38.38286,-0.00047,-0.00195,4
4.15379,-1.39709,38.38286,-0.00051,-0.00211,4
4.15346,-1.39964,38.38286,-0.00055,-0.00227,4
4.15329,-1.39964,38.38286,-0.00058,-0.00243,4
4.15312,-1.4022,38.38286,-0.00062,-0.0026,4
4.15295,-1.4022,38.38286,-0.00066,-0.00276,4
4.15278,-1.39964,38.38286,-0.0007,-0.00292,4
4.14671,-1.74189,38.38286,-0.00075,-0.0031,4
4.14216,-1.96665,38.38286,-0.0008,-0.00333,4
4.14048,-2.03306,38.38286,-0.00086,-0.00357,4
4.13997,-2.05093,38.38286,-0.00091,-0.0038,4
4.13946,-2.05604,38.38286,-0.00097,-0.00403,4
4.13913,-2.05604,38.38286,-0.00103,-0.00427,4
4.13879,-2.0586,38.38286,-0.00108,-0.0045,4
4.13862,-2.0586,38.38286,-0.00114,-0.00474,4
4.13829,-2.0586,38.38286,-0.0012,-0.00498,4
4.13812,-2.0586,38.38286,-0.00126,-0.00522,4
4.13171,-2.41617,38.38286,-0.00132,-0.00549,4
4.12699,-2.64859,38.38286,-0.0014,-0.00579,4
4.12547,-2.70478,38.38286,-0.00147,-0.0061,4
4.1248,-2.72521,38.38286,-0.00155,-0.00641,4
4.12429,-2.73032,38.38286,-0.00162,-0.00672,4
4.12379,-2.73032,38.38286,-0.0017,-0.00704,4
4.12345,-2.73288,38.38286,-0.00177,-0.00735,4
4.12311,-2.73288,38.38286,-0.00185,-0.00766,4
4.12295,-2.73288,38.38286,-0.00192,-0.00797,4
4.12261,-2.73288,38.38286,-0.002,-0.00828,4
4.12008,-2.86569,38.38286,-0.00208,-0.00861,4
4.11823,-2.94742,38.38286,-0.00216,-0.00895,4
4.11738,-2.97551,38.38286,-0.00224,-0.00929,4
4.11688,-2.98318,38.38286,-0.00233,-0.00963,4
4.11654,-2.98318,38.38286,-0.00241,-0.00997,4
4.1162,-2.98573,38.38286,-0.00249,-0.01032,4
4.11587,-2.98573,38.38286,-0.00257,-0.01065,4
4.11553,-2.98573,38.38286,-0.00266,-0.01099,4
4.11536,-2.98573,38.38286,-0.00274,-0.01133,4
4.11502,-2.98573,38.38286,-0.00282,-0.01168,4
4.11553,-2.94487,38.38286,-0.00291,-0.01202,4
4.1157,-2.91677,38.38286,-0.00299,-0.01235,4
4.1157,-2.90911,38.38286,-0.00307,-0.01268,4
4.11553,-2.90655,38.38286,-0.00315,-0.01301,4
4.11519,-2.90655,38.38286,-0.00323,-0.01334,4
4.11502,-2.90655,38.38286,-0.00331,-0.01367,4
4.11486,-2.90655,38.38286,-0.00339,-0.01401,4
4.11452,-2.90655,38.38286,-0.00347,-0.01434,4
4.11435,-2.90655,38.38286,-0.00355,-0.01467,4
4.11418,-2.90655,38.38286,-0.00363,-0.015,4
4.11148,-3.04192,38.38286,-0.00372,-0.01534,4
4.10997,-3.11599,38.38286,-0.0038,-0.01571,4
4.10929,-3.13898,38.38286,-0.00389,-0.01606,4
4.10879,-3.14664,38.38286,-0.00398,-0.01642,4
4.10845,-3.14919,38.38286,-0.00406,-0.01678,4
4.10811,-3.15175,38.38286,-0.00415,-0.01714,4
4.10794,-3.15175,38.38286,-0.00424,-0.0175,4
4.10778,-3.15175,38.38286,-0.00433,-0.01787,4
4.10744,-3.15175,38.38286,-0.00442,-0.01822,4
4.10727,-3.15175,38.38286,-0.0045,-0.01858,4
4.10356,-3.34841,38.38286,-0.00459,-0.01895,4
4.1012,-3.46335,38.38286,-0.00469,-0.01936,4
4.10019,-3.49655,38.38286,-0.00479,-0.01975,4
4.09969,-3.50421,38.38286,-0.00488,-0.02015,4
4.09935,-3.50932,38.38286,-0.00498,-0.02054,4
4.09901,-3.51187,38.38286,-0.00508,-0.02094,4
4.09884,-3.51187,38.38286,-0.00518,-0.02135,4
4.09851,-3.51187,38.38286,-0.00528,-0.02175,4
4.09817,-3.51187,38.38286,-0.00537,-0.02215,4
4.098,-3.51187,38.38286,-0.00547,-0.02255,4
4.10053,-3.34586,38.38286,-0.00556,-0.02293,4
4.10204,-3.25646,38.38286,-0.00565,-0.0233,4
4.10238,-3.22837,38.38286,-0.00574,-0.02367,4
4.10238,-3.21815,38.38286,-0.00583,-0.02403,4
4.10238,-3.2156,38.38286,-0.00592,-0.0244,4
4.10221,-3.2156,38.38286,-0.00601,-0.02477,4
4.10204,-3.2156,38.38286,-0.0061,-0.02514,4
4.10188,-3.2156,38.38286,-0.00619,-0.02551,4
4.10171,-3.2156,38.38286,-0.00628,-0.02587,4
4.10154,-3.2156,38.38286,-0.00637,-0.02624,4
4.1071,-2.88101,38.38286,-0.00645,-0.02657,4
4.11064,-2.68179,38.38286,-0.00653,-0.02689,4
4.11165,-2.63327,38.38286,-0.0066,-0.02719,4
4.11182,-2.61794,38.38286,-0.00667,-0.02749,4
4.11182,-2.61539,38.38286,-0.00675,-0.02779,4
4.11182,-2.61283,38.38286,-0.00682,-0.02808,4
4.11182,-2.61283,38.38286,-0.00689,-0.02838,4
4.11165,-2.61283,38.38286,-0.00696,-0.02867,4
4.11165,-2.61283,38.38286,-0.00704,-0.02898,4
4.11148,-2.61283,38.38286,-0.00711,-0.02928,4
4.11654,-2.31911,38.38286,-0.00718,-0.02955,4
4.12008,-2.125,38.38286,-0.00723,-0.02979,4
4.12109,-2.07647,38.38286,-0.00729,-0.03003,4
4.12143,-2.06115,38.38286,-0.00735,-0.03027,4
4.1216,-2.0586,38.38286,-0.00741,-0.0305,4
4.1216,-2.05604,38.38286,-0.00746,-0.03074,4
4.1216,-2.05604,38.38286,-0.00752,-0.03097,4
4.1216,-2.05604,38.38286,-0.00758,-0.03121,4
4.1216,-2.05604,38.38286,-0.00763,-0.03144,4
4.1216,-2.05604,38.38286,-0.00769,-0.03168,4
4.11924,-2.19141,38.38286,-0.00775,-0.03193,4
4.11755,-2.27314,38.38286,-0.00782,-0.03219,4
4.11705,-2.30123,38.38286,-0.00788,-0.03245,4
4.11671,-2.3089,38.38286,-0.00794,-0.03271,4
4.11671,-2.31145,38.38286,-0.00801,-0.03298,4
4.11654,-2.31145,38.38286,-0.00807,-0.03324,4
4.11637,-2.31145,38.38286,-0.00814,-0.03351,4
4.11637,-2.31145,38.38286,-0.0082,-0.03377,4
4.1162,-2.31145,38.38286,-0.00826,-0.03404,4
4.1162,-2.31145,38.38286,-0.00833,-0.0343,4
4.11519,-2.36253,38.38286,-0.0084,-0.03457,4
4.11452,-2.39574,38.38286,-0.00846,-0.03485,4
4.11418,-2.4034,38.38286,-0.00853,-0.03512,4
4.11401,-2.40851,38.38286,-0.00859,-0.03539,4
4.11384,-2.40851,38.38286,-0.00866,-0.03567,4
4.11384,-2.40851,38.38286,-0.00873,-0.03594,4
4.11368,-2.40851,38.38286,-0.0088,-0.03622,4
4.11351,-2.40851,38.38286,-0.00886,-0.0365,4
4.11351,-2.40851,38.38286,-0.00893,-0.03677,4
4.11334,-2.40851,38.38286,-0.009,-0.03704,4
4.11789,-2.14033,38.38286,-0.00906,-0.0373,4
4.12059,-1.9973,38.38286,-0.00912,-0.03754,4
4.12143,-1.94877,38.38286,-0.00917,-0.03775,4
4.12177,-1.936,38.38286,-0.00922,-0.03798,4
4.12193,-1.93345,38.38286,-0.00927,-0.03819,4
4.12193,-1.93089,38.38286,-0.00933,-0.03841,4
4.12193,-1.93089,38.38286,-0.00938,-0.03863,4
4.12193,-1.93089,38.38286,-0.00944,-0.03886,4
4.12177,-1.93089,38.38286,-0.00949,-0.03908,4
4.12177,-1.93089,38.38286,-0.00954,-0.0393,4
4.11957,-2.06115,38.38286,-0.0096,-0.03953,4
4.11789,-2.14799,38.38286,-0.00966,-0.03978,4
4.11738,-2.16842,38.38286,-0.00972,-0.04002,4
4.11722,-2.17608,38.38286,-0.00978,-0.04028,4
