Voltage,Current,Temperature,Capacity,WhAccu,Cnt
4.18262,-0.04597,-19.98012,0,0,4
4.17688,-0.08173,-19.98012,0,-0.00001,4
4.17335,-0.09195,-19.98012,0,-0.00002,4
4.17099,-0.0945,-19.98012,-0.00001,-0.00003,4
4.16913,-0.0945,-19.98012,-0.00001,-0.00004,4
4.16728,-0.0945,-19.98012,-0.00001,-0.00005,4
4.16542,-0.09706,-19.98012,-0.00002,-0.00006,4
4.16407,-0.0945,-19.98012,-0.00002,-0.00007,4
4.16256,-0.0945,-19.98012,-0.00002,-0.00009,4
4.16104,-0.0945,-19.98012,-0.00002,-0.0001,4
4.15969,-0.09706,-19.98012,-0.00003,-0.00011,4
4.15834,-0.09706,-19.98012,-0.00003,-0.00012,4
4.157,-0.0945,-19.98012,-0.00003,-0.00013,4
4.15565,-0.0945,-19.98012,-0.00003,-0.00014,4
4.15447,-0.09706,-19.98012,-0.00004,-0.00015,4
4.15329,-0.0945,-19.98012,-0.00004,-0.00016,4
4.15211,-0.0945,-19.98012,-0.00004,-0.00017,4
4.1511,-0.0945,-19.98012,-0.00004,-0.00018,4
4.14992,-0.0945,-19.98012,-0.00005,-0.0002,4
4.1489,-0.09706,-19.98012,-0.00005,-0.00021,4
4.14772,-0.09706,-19.98012,-0.00005,-0.00022,4
4.14688,-0.09706,-19.98012,-0.00006,-0.00023,4
4.14587,-0.0945,-19.98012,-0.00006,-0.00024,4
4.14486,-0.0945,-19.98012,-0.00006,-0.00025,4
4.14402,-0.0945,-19.98012,-0.00006,-0.00026,4
4.14317,-0.09706,-19.98012,-0.00007,-0.00027,4
4.14233,-0.0945,-19.98012,-0.00007,-0.00028,4
4.14149,-0.0945,-19.98012,-0.00007,-0.00029,4
4.14064,-0.0945,-19.98012,-0.00007,-0.00031,4
4.1398,-0.0945,-19.98012,-0.00008,-0.00032,4
4.13913,-0.0945,-19.98012,-0.00008,-0.00033,4
4.13845,-0.09706,-19.98012,-0.00008,-0.00034,4
4.13761,-0.0945,-19.98012,-0.00008,-0.00035,4
4.13694,-0.0945,-19.98012,-0.00009,-0.00036,4
4.13643,-0.09706,-19.98012,-0.00009,-0.00037,4
4.13559,-0.0945,-19.98012,-0.00009,-0.00038,4
4.13508,-0.0945,-19.98012,-0.00009,-0.00039,4
4.13441,-0.0945,-19.98012,-0.0001,-0.0004,4
4.13373,-0.0945,-19.98012,-0.0001,-0.00042,4
4.13323,-0.09706,-19.98012,-0.0001,-0.00043,4
4.13272,-0.09706,-19.98012,-0.00011,-0.00044,4
4.13222,-0.0945,-19.98012,-0.00011,-0.00045,4
4.13154,-0.0945,-19.98012,-0.00011,-0.00046,4
4.13104,-0.0945,-19.98012,-0.00011,-0.00047,4
4.1307,-0.09706,-19.98012,-0.00012,-0.00048,4
4.13003,-0.0945,-19.98012,-0.00012,-0.00049,4
4.12969,-0.0945,-19.98012,-0.00012,-0.0005,4
4.12918,-0.09706,-19.98012,-0.00012,-0.00051,4
4.12885,-0.0945,-19.98012,-0.00013,-0.00053,4
4.12834,-0.0945,-19.98012,-0.00013,-0.00054,4
4.128,-0.09706,-19.98012,-0.00013,-0.00055,4
4.1275,-0.0945,-19.98012,-0.00013,-0.00056,4
4.12716,-0.0945,-19.98012,-0.00014,-0.00057,4
4.12682,-0.09706,-19.98012,-0.00014,-0.00058,4
4.12632,-0.0945,-19.98012,-0.00014,-0.00059,4
4.12598,-0.0945,-19.98012,-0.00015,-0.0006,4
4.12564,-0.0945,-19.98012,-0.00015,-0.00061,4
4.12531,-0.0945,-19.98012,-0.00015,-0.00062,4
4.12497,-0.09706,-19.98012,-0.00015,-0.00063,4
4.12463,-0.0945,-19.98012,-0.00016,-0.00065,4
4.12446,-0.09706,-19.98012,-0.00016,-0.00066,4
4.12413,-0.0945,-19.98012,-0.00016,-0.00067,4
4.12379,-0.09706,-19.98012,-0.00016,-0.00068,4
4.12345,-0.0945,-19.98012,-0.00017,-0.00069,4
4.12328,-0.0945,-19.98012,-0.00017,-0.0007,4
4.12295,-0.09706,-19.98012,-0.00017,-0.00071,4
4.12261,-0.09706,-19.98012,-0.00017,-0.00072,4
4.12244,-0.09706,-19.98012,-0.00018,-0.00073,4
4.1221,-0.0945,-19.98012,-0.00018,-0.00074,4
4.12193,-0.09706,-19.98012,-0.00018,-0.00076,4
4.12177,-0.0945,-19.98012,-0.00019,-0.00077,4
4.12143,-0.0945,-19.98012,-0.00019,-0.00078,4
4.12126,-0.0945,-19.98012,-0.00019,-0.00079,4
4.12092,-0.0945,-19.98012,-0.00019,-0.0008,4
4.12075,-0.09706,-19.98012,-0.0002,-0.00081,4
4.12059,-0.09706,-19.98012,-0.0002,-0.00082,4
4.12042,-0.09706,-19.98012,-0.0002,-0.00083,4
4.12025,-0.0945,-19.98012,-0.0002,-0.00084,4
4.12008,-0.09706,-19.98012,-0.00021,-0.00085,4
4.11991,-0.0945,-19.98012,-0.00021,-0.00087,4
4.11974,-0.0945,-19.98012,-0.00021,-0.00088,4
4.11957,-0.09706,-19.98012,-0.00021,-0.00089,4
4.11924,-0.0945,-19.98012,-0.00022,-0.0009,4
4.11907,-0.0945,-19.98012,-0.00022,-0.00091,4
4.11907,-0.09706,-19.98012,-0.00022,-0.00092,4
4.1189,-0.09706,-19.98012,-0.00023,-0.00093,4
4.11873,-0.0945,-19.98012,-0.00023,-0.00094,4
4.11856,-0.0945,-19.98012,-0.00023,-0.00095,4
4.1184,-0.0945,-19.98012,-0.00023,-0.00096,4
4.11823,-0.09706,-19.98012,-0.00024,-0.00097,4
4.11806,-0.09706,-19.98012,-0.00024,-0.00099,4
4.11789,-0.0945,-19.98012,-0.00024,-0.001,4
4.11789,-0.09706,-19.98012,-0.00024,-0.00101,4
4.11772,-0.0945,-19.98012,-0.00025,-0.00102,4
4.11755,-0.0945,-19.98012,-0.00025,-0.00103,4
4.11738,-0.0945,-19.98012,-0.00025,-0.00104,4
4.11722,-0.0945,-19.98012,-0.00025,-0.00105,4
4.11722,-0.09706,-19.98012,-0.00026,-0.00106,4
4.11705,-0.0945,-19.98012,-0.00026,-0.00107,4
4.11688,-0.0945,-19.98012,-0.00026,-0.00108,4
4.11688,-0.09706,-19.98012,-0.00026,-0.0011,4
4.11671,-0.0945,-19.98012,-0.00027,-0.00111,4
4.11654,-0.0945,-19.98012,-0.00027,-0.00112,4
4.11654,-0.09706,-19.98012,-0.00027,-0.00113,4
4.11637,-0.09706,-19.98012,-0.00028,-0.00114,4
4.11637,-0.0945,-19.98012,-0.00028,-0.00115,4
4.1162,-0.09706,-19.98012,-0.00028,-0.00116,4
4.1162,-0.09706,-19.98012,-0.00028,-0.00117,4
4.11604,-0.0945,-19.98012,-0.00029,-0.00118,4
4.11587,-0.09706,-19.98012,-0.00029,-0.00119,4
4.11587,-0.09706,-19.98012,-0.00029,-0.00121,4
4.11587,-0.0945,-19.98012,-0.00029,-0.00122,4
4.1157,-0.0945,-19.98012,-0.0003,-0.00123,4
4.1157,-0.0945,-19.98012,-0.0003,-0.00124,4
4.11553,-0.0945,-19.98012,-0.0003,-0.00125,4
4.11553,-0.09706,-19.98012,-0.0003,-0.00126,4
4.11536,-0.09706,-19.98012,-0.00031,-0.00127,4
4.11536,-0.0945,-19.98012,-0.00031,-0.00128,4
4.11519,-0.0945,-19.98012,-0.00031,-0.00129,4
4.11519,-0.09706,-19.98012,-0.00032,-0.0013,4
4.11502,-0.09706,-19.98012,-0.00032,-0.00131,4
4.11502,-0.0945,-19.98012,-0.00032,-0.00133,4
4.11502,-0.0945,-19.98012,-0.00032,-0.00134,4
4.11486,-0.09706,-19.98012,-0.00033,-0.00135,4
4.11486,-0.0945,-19.98012,-0.00033,-0.00136,4
4.11469,-0.0945,-19.98012,-0.00033,-0.00137,4
4.11469,-0.09706,-19.98012,-0.00033,-0.00138,4
4.11469,-0.09706,-19.98012,-0.00034,-0.00139,4
4.11452,-0.0945,-19.98012,-0.00034,-0.0014,4
4.11452,-0.09706,-19.98012,-0.00034,-0.00141,4
4.11452,-0.09706,-19.98012,-0.00034,-0.00142,4
4.11435,-0.0945,-19.98012,-0.00035,-0.00143,4
4.11435,-0.09706,-19.98012,-0.00035,-0.00145,4
4.11435,-0.0945,-19.98012,-0.00035,-0.00146,4
4.11418,-0.0945,-19.98012,-0.00036,-0.00147,4
4.11418,-0.0945,-19.98012,-0.00036,-0.00148,4
4.11418,-0.0945,-19.98012,-0.00036,-0.00149,4
4.11401,-0.0945,-19.98012,-0.00036,-0.0015,4
4.11401,-0.09706,-19.98012,-0.00037,-0.00151,4
4.11401,-0.0945,-19.98012,-0.00037,-0.00152,4
4.11384,-0.0945,-19.98012,-0.00037,-0.00153,4
4.11384,-0.0945,-19.98012,-0.00037,-0.00154,4
4.11384,-0.09706,-19.98012,-0.00038,-0.00155,4
4.11384,-0.09706,-19.98012,-0.00038,-0.00157,4
4.11368,-0.0945,-19.98012,-0.00038,-0.00158,4
4.11368,-0.0945,-19.98012,-0.00038,-0.00159,4
4.11368,-0.09706,-19.98012,-0.00039,-0.0016,4
4.11368,-0.09706,-19.98012,-0.00039,-0.00161,4
4.11351,-0.0945,-19.98012,-0.00039,-0.00162,4
4.11351,-0.0945,-19.98012,-0.0004,-0.00163,4
4.11351,-0.09706,-19.98012,-0.0004,-0.00164,4
4.11351,-0.0945,-19.98012,-0.0004,-0.00165,4
4.11334,-0.0945,-20.08528,-0.0004,-0.00166,4
4.11334,-0.09706,-20.08528,-0.00041,-0.00167,4
4.11334,-0.09706,-20.08528,-0.00041,-0.00169,4
4.11334,-0.0945,-20.08528,-0.00041,-0.0017,4
4.11317,-0.0945,-20.08528,-0.00041,-0.00171,4
4.11317,-0.09706,-20.08528,-0.00042,-0.00172,4
4.11317,-0.0945,-20.08528,-0.00042,-0.00173,4
4.11317,-0.0945,-20.08528,-0.00042,-0.00174,4
4.11317,-0.0945,-20.08528,-0.00042,-0.00175,4
4.113,-0.0945,-20.08528,-0.00043,-0.00176,4
4.113,-0.09706,-20.08528,-0.00043,-0.00177,4
4.113,-0.0945,-20.08528,-0.00043,-0.00178,4
4.113,-0.0945,-20.08528,-0.00044,-0.0018,4
4.113,-0.09706,-20.08528,-0.00044,-0.00181,4
4.11283,-0.0945,-20.08528,-0.00044,-0.00182,4
4.11283,-0.0945,-20.08528,-0.00044,-0.00183,4
4.11283,-0.09706,-20.08528,-0.00045,-0.00184,4
4.11283,-0.09706,-20.08528,-0.00045,-0.00185,4
4.11283,-0.0945,-20.08528,-0.00045,-0.00186,4
4.11266,-0.0945,-20.08528,-0.00045,-0.00187,4
4.11266,-0.0945,-20.08528,-0.00046,-0.00188,4
