Voltage,Current,Temperature,Capacity,WhAccu,Cnt
4.19254,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19254,0,9.14879,0,0,12
4.19254,0,9.14879,0,0,12
4.19254,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19254,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19254,0,9.14879,0,0,12
4.19254,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19254,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19254,0,9.14879,0,0,12
4.19254,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19254,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19254,0,9.14879,0,0,12
4.19254,0,9.14879,0,0,12
4.19254,0,9.14879,0,0,12
4.19254,0,9.14879,0,0,12
4.19254,0,9.14879,0,0,12
4.19271,0,9.04363,0,0,12
4.19254,0,9.04363,0,0,12
4.19254,0,9.04363,0,0,12
4.19271,0,9.04363,0,0,12
4.19254,0,9.04363,0,0,12
4.19254,0,9.04363,0,0,12
4.19254,0,9.04363,0,0,12
4.19254,0,9.04363,0,0,12
4.19254,0,9.14879,0,0,12
4.19254,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
4.19271,0,9.14879,0,0,12
