Voltage,Current,Temperature,Capacity,WhAccu,Cnt
4.18599,-0.04597,9.25395,0,0,2
4.1843,-0.07918,9.25395,0,-0.00001,2
4.18346,-0.08939,9.25395,0,-0.00002,2
4.18295,-0.0945,9.25395,-0.00001,-0.00003,2
4.18262,-0.0945,9.25395,-0.00001,-0.00004,2
4.18245,-0.0945,9.25395,-0.00001,-0.00005,2
4.18228,-0.09706,9.25395,-0.00001,-0.00006,2
4.18211,-0.0945,9.25395,-0.00002,-0.00007,2
4.18211,-0.09706,9.25395,-0.00002,-0.00008,2
4.18211,-0.09706,9.25395,-0.00002,-0.0001,2
4.18194,-0.0945,9.25395,-0.00003,-0.00011,2
4.18194,-0.09706,9.25395,-0.00003,-0.00012,2
4.18194,-0.09706,9.25395,-0.00003,-0.00013,2
4.18194,-0.09706,9.25395,-0.00003,-0.00014,2
4.18194,-0.09706,9.25395,-0.00004,-0.00015,2
4.18177,-0.0945,9.25395,-0.00004,-0.00016,2
4.18177,-0.09706,9.25395,-0.00004,-0.00017,2
4.18177,-0.0945,9.25395,-0.00004,-0.00018,2
4.18177,-0.09706,9.25395,-0.00005,-0.0002,2
4.18177,-0.0945,9.25395,-0.00005,-0.00021,2
4.18177,-0.0945,9.25395,-0.00005,-0.00022,2
4.18177,-0.09706,9.25395,-0.00005,-0.00023,2
4.18177,-0.09706,9.25395,-0.00006,-0.00024,2
4.1816,-0.09706,9.25395,-0.00006,-0.00025,2
4.1816,-0.09706,9.25395,-0.00006,-0.00026,2
4.1816,-0.09706,9.25395,-0.00007,-0.00027,2
4.1816,-0.0945,9.25395,-0.00007,-0.00029,2
4.1816,-0.09706,9.25395,-0.00007,-0.0003,2
4.1816,-0.0945,9.25395,-0.00007,-0.00031,2
4.1816,-0.09706,9.25395,-0.00008,-0.00032,2
4.1816,-0.09706,9.25395,-0.00008,-0.00033,2
4.1816,-0.09706,9.25395,-0.00008,-0.00034,2
4.18144,-0.09706,9.25395,-0.00008,-0.00035,2
4.18144,-0.09706,9.25395,-0.00009,-0.00036,2
4.18144,-0.09706,9.25395,-0.00009,-0.00037,2
4.18144,-0.09706,9.25395,-0.00009,-0.00038,2
4.18144,-0.0945,9.25395,-0.00009,-0.0004,2
4.18144,-0.09706,9.25395,-0.0001,-0.00041,2
4.18144,-0.09706,9.25395,-0.0001,-0.00042,2
4.18144,-0.09706,9.25395,-0.0001,-0.00043,2
4.18144,-0.09706,9.25395,-0.00011,-0.00044,2
4.18144,-0.0945,9.25395,-0.00011,-0.00045,2
4.18144,-0.09706,9.25395,-0.00011,-0.00046,2
4.18144,-0.09706,9.25395,-0.00011,-0.00047,2
4.18127,-0.09706,9.25395,-0.00012,-0.00049,2
4.18127,-0.09706,9.25395,-0.00012,-0.0005,2
4.18127,-0.09706,9.25395,-0.00012,-0.00051,2
4.18127,-0.0945,9.25395,-0.00012,-0.00052,2
4.18127,-0.0945,9.25395,-0.00013,-0.00053,2
4.18127,-0.09706,9.25395,-0.00013,-0.00054,2
4.18127,-0.09706,9.25395,-0.00013,-0.00055,2
4.18127,-0.09706,9.25395,-0.00013,-0.00056,2
4.18127,-0.0945,9.25395,-0.00014,-0.00057,2
4.18127,-0.09706,9.25395,-0.00014,-0.00059,2
4.18127,-0.09706,9.25395,-0.00014,-0.0006,2
4.18127,-0.0945,9.25395,-0.00015,-0.00061,2
4.18127,-0.09706,9.25395,-0.00015,-0.00062,2
4.1811,-0.0945,9.25395,-0.00015,-0.00063,2
4.1811,-0.09706,9.25395,-0.00015,-0.00064,2
4.1811,-0.09706,9.25395,-0.00016,-0.00065,2
4.1811,-0.09706,9.25395,-0.00016,-0.00066,2
4.1811,-0.09706,9.25395,-0.00016,-0.00067,2
4.1811,-0.09706,9.25395,-0.00016,-0.00068,2
4.1811,-0.09706,9.25395,-0.00017,-0.0007,2
4.1811,-0.0945,9.25395,-0.00017,-0.00071,2
4.1811,-0.09706,9.25395,-0.00017,-0.00072,2
4.1811,-0.0945,9.25395,-0.00017,-0.00073,2
4.1811,-0.09706,9.25395,-0.00018,-0.00074,2
4.1811,-0.09706,9.25395,-0.00018,-0.00075,2
4.1811,-0.09706,9.25395,-0.00018,-0.00076,2
4.1811,-0.09706,9.25395,-0.00019,-0.00077,2
4.18093,-0.09706,9.25395,-0.00019,-0.00079,2
4.18093,-0.09706,9.25395,-0.00019,-0.0008,2
4.18093,-0.0945,9.25395,-0.00019,-0.00081,2
4.18093,-0.09706,9.25395,-0.0002,-0.00082,2
4.18093,-0.0945,9.25395,-0.0002,-0.00083,2
4.18093,-0.09706,9.25395,-0.0002,-0.00084,2
4.18093,-0.0945,9.25395,-0.0002,-0.00085,2
4.18093,-0.09706,9.25395,-0.00021,-0.00086,2
4.18093,-0.0945,9.25395,-0.00021,-0.00088,2
4.18093,-0.0945,9.25395,-0.00021,-0.00089,2
4.18093,-0.0945,9.25395,-0.00021,-0.0009,2
4.18093,-0.09706,9.25395,-0.00022,-0.00091,2
4.18093,-0.0945,9.25395,-0.00022,-0.00092,2
4.18093,-0.09706,9.25395,-0.00022,-0.00093,2
4.18093,-0.0945,9.25395,-0.00023,-0.00094,2
4.18076,-0.09706,9.25395,-0.00023,-0.00095,2
4.18076,-0.09706,9.25395,-0.00023,-0.00096,2
4.18076,-0.0945,9.25395,-0.00023,-0.00098,2
4.18076,-0.09706,9.25395,-0.00024,-0.00099,2
4.18076,-0.09706,9.25395,-0.00024,-0.001,2
4.18076,-0.0945,9.25395,-0.00024,-0.00101,2
4.18076,-0.09706,9.25395,-0.00024,-0.00102,2
4.18076,-0.09706,9.25395,-0.00025,-0.00103,2
4.18076,-0.0945,9.25395,-0.00025,-0.00104,2
4.18076,-0.0945,9.25395,-0.00025,-0.00105,2
4.18076,-0.0945,9.25395,-0.00025,-0.00107,2
4.18076,-0.09706,9.25395,-0.00026,-0.00108,2
4.18076,-0.09706,9.25395,-0.00026,-0.00109,2
4.18076,-0.09706,9.25395,-0.00026,-0.0011,2
4.18076,-0.09706,9.25395,-0.00027,-0.00111,2
4.18076,-0.0945,9.25395,-0.00027,-0.00112,2
4.18076,-0.0945,9.25395,-0.00027,-0.00113,2
4.18059,-0.09706,9.25395,-0.00027,-0.00114,2
4.18059,-0.09706,9.25395,-0.00028,-0.00115,2
4.18059,-0.09706,9.25395,-0.00028,-0.00116,2
4.18059,-0.0945,9.25395,-0.00028,-0.00118,2
4.18059,-0.09706,9.25395,-0.00028,-0.00119,2
4.18059,-0.09706,9.25395,-0.00029,-0.0012,2
4.18059,-0.09706,9.25395,-0.00029,-0.00121,2
4.18059,-0.09706,9.25395,-0.00029,-0.00122,2
4.18059,-0.0945,9.25395,-0.00029,-0.00123,2
4.18059,-0.09706,9.25395,-0.0003,-0.00124,2
4.18059,-0.09706,9.25395,-0.0003,-0.00125,2
4.18059,-0.09706,9.25395,-0.0003,-0.00127,2
4.18059,-0.09706,9.25395,-0.00031,-0.00128,2
4.18059,-0.0945,9.25395,-0.00031,-0.00129,2
4.18059,-0.09706,9.25395,-0.00031,-0.0013,2
4.18059,-0.09706,9.25395,-0.00031,-0.00131,2
4.18059,-0.0945,9.25395,-0.00032,-0.00132,2
4.18059,-0.09706,9.25395,-0.00032,-0.00133,2
4.18059,-0.09706,9.25395,-0.00032,-0.00134,2
4.18059,-0.09706,9.25395,-0.00032,-0.00135,2
4.18042,-0.09706,9.25395,-0.00033,-0.00137,2
4.18042,-0.09706,9.25395,-0.00033,-0.00138,2
4.18042,-0.09706,9.25395,-0.00033,-0.00139,2
4.18042,-0.09706,9.25395,-0.00033,-0.0014,2
4.18042,-0.0945,9.25395,-0.00034,-0.00141,2
4.18042,-0.09706,9.25395,-0.00034,-0.00142,2
4.18042,-0.09706,9.25395,-0.00034,-0.00143,2
4.18042,-0.09706,9.25395,-0.00035,-0.00144,2
4.18042,-0.09706,9.25395,-0.00035,-0.00145,2
4.18042,-0.09706,9.25395,-0.00035,-0.00147,2
4.18042,-0.09706,9.25395,-0.00035,-0.00148,2
4.18042,-0.09706,9.25395,-0.00036,-0.00149,2
4.18042,-0.09706,9.25395,-0.00036,-0.0015,2
4.18042,-0.09706,9.25395,-0.00036,-0.00151,2
