Voltage,Current,Temperature,Capacity,WhAccu,Cnt
4.18464,-0.02554,-19.98012,0,0,2
4.18076,-0.04853,-19.98012,0,0,2
4.17857,-0.05364,-19.98012,0,-0.00001,2
4.17722,-0.05619,-19.98012,0,-0.00002,2
4.17604,-0.05619,-19.98012,-0.00001,-0.00002,2
4.17486,-0.05619,-19.98012,-0.00001,-0.00003,2
4.17385,-0.05619,-19.98012,-0.00001,-0.00004,2
4.17301,-0.05874,-19.98012,-0.00001,-0.00004,2
4.172,-0.05619,-19.98012,-0.00001,-0.00005,2
4.17115,-0.05619,-19.98012,-0.00001,-0.00006,2
4.14418,-0.38311,-19.98012,-0.00001,-0.00006,2
4.08789,-0.76112,-19.98012,-0.00003,-0.00012,2
4.05755,-0.86073,-19.98012,-0.00005,-0.00021,2
4.0358,-0.89393,-19.98012,-0.00008,-0.00031,2
4.0176,-0.9067,-19.98012,-0.0001,-0.00041,2
4.00158,-0.91181,-19.98012,-0.00013,-0.00051,2
3.98709,-0.91692,-19.98012,-0.00015,-0.00061,2
3.97377,-0.91947,-19.98012,-0.00018,-0.00071,2
3.96062,-0.92458,-19.98012,-0.0002,-0.00082,2
3.95068,-0.92713,-19.98012,-0.00023,-0.00092,2
3.95253,-0.78411,-19.98012,-0.00025,-0.00102,2
3.96113,-0.66662,-19.98012,-0.00027,-0.0011,2
3.96298,-0.63341,-19.98012,-0.00029,-0.00117,2
3.96214,-0.6232,-19.98012,-0.00031,-0.00124,2
3.96046,-0.62064,-19.98012,-0.00033,-0.00131,2
3.9586,-0.62064,-19.98012,-0.00034,-0.00138,2
3.95675,-0.62064,-19.98012,-0.00036,-0.00145,2
3.95489,-0.62064,-19.98012,-0.00038,-0.00152,2
3.95304,-0.62064,-19.98012,-0.0004,-0.00159,2
3.95135,-0.62064,-19.98012,-0.00041,-0.00165,2
3.97731,-0.3116,-19.98012,-0.00043,-0.00172,2
4.00647,-0.12004,-19.98012,-0.00044,-0.00175,2
4.02602,-0.05364,-19.98012,-0.00044,-0.00176,2
4.03462,-0.04087,-19.98012,-0.00044,-0.00176,2
4.04322,-0.0332,-19.98012,-0.00044,-0.00177,2
4.04945,-0.0332,-19.98012,-0.00044,-0.00177,2
4.05502,-0.0332,-19.98012,-0.00044,-0.00177,2
4.05991,-0.0332,-19.98012,-0.00045,-0.00178,2
4.06429,-0.0332,-19.98012,-0.00045,-0.00178,2
4.06833,-0.0332,-19.98012,-0.00045,-0.00179,2
4.07288,-0.02554,-19.98012,-0.00045,-0.00179,2
4.07744,-0.01788,-19.98012,-0.00045,-0.00179,2
4.08047,-0.01788,-19.98012,-0.00045,-0.00179,2
4.08418,-0.01788,-19.98012,-0.00045,-0.0018,2
4.08721,-0.01788,-19.98012,-0.00045,-0.0018,2
4.09008,-0.01788,-19.98012,-0.00045,-0.0018,2
4.09294,-0.01788,-19.98012,-0.00045,-0.0018,2
4.09547,-0.01788,-19.98012,-0.00045,-0.0018,2
4.098,-0.01788,-19.98012,-0.00045,-0.00181,2
4.10019,-0.01788,-19.98012,-0.00045,-0.00181,2
4.06193,-0.46229,-19.98012,-0.00045,-0.00181,2
4.02484,-0.70237,-19.98012,-0.00047,-0.00187,2
3.9967,-0.80454,-19.98012,-0.00049,-0.00195,2
3.9795,-0.83263,-19.98012,-0.00051,-0.00204,2
3.96619,-0.84285,-19.98012,-0.00053,-0.00213,2
