Voltage,Current,Temperature,Capacity,WhAccu,Cnt
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18782,0,-0.63095,0,0,12
4.18782,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18782,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18782,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18782,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.18799,0,-0.63095,0,0,12
4.08485,-3.00106,-0.63095,-0.00008,-0.00035,12
4.04204,-3.00106,-0.63095,-0.00017,-0.00069,12
4.00934,-3.00106,-0.63095,-0.00025,-0.00103,12
3.98844,-3.00106,-0.63095,-0.00034,-0.00136,12
3.97461,-2.9985,-0.63095,-0.00042,-0.00169,12
3.96686,-2.9985,-0.63095,-0.0005,-0.00202,12
3.9618,-2.9985,-0.63095,-0.00058,-0.00234,12
3.9586,-3.00106,-0.63095,-0.00067,-0.00268,12
3.9559,-3.00106,-0.63095,-0.00075,-0.00302,12
3.95388,-3.00106,-0.63095,-0.00084,-0.00334,12
3.95203,-2.9985,-0.63095,-0.00092,-0.00367,12
3.95068,-2.9985,-0.63095,-0.001,-0.00399,12
3.94933,-2.9985,-0.63095,-0.00109,-0.00433,12
3.94832,-2.9985,-0.63095,-0.00117,-0.00466,12
3.94731,-3.00106,-0.63095,-0.00125,-0.00499,12
3.94647,-3.00106,-0.63095,-0.00133,-0.00531,12
3.94545,-2.9985,-0.63095,-0.00142,-0.00564,12
3.94461,-3.00106,-0.63095,-0.0015,-0.00597,12
3.94377,-2.9985,-0.63095,-0.00159,-0.0063,12
3.94309,-3.00106,-0.63095,-0.00167,-0.00663,12
3.94225,-2.9985,-0.63095,-0.00175,-0.00696,12
3.94158,-2.9985,-0.63095,-0.00184,-0.00729,12
3.9409,-3.00106,-0.63095,-0.00192,-0.00761,12
3.94023,-2.9985,-0.63095,-0.002,-0.00795,12
3.93955,-2.9985,-0.63095,-0.00209,-0.00827,12
3.93905,-2.9985,-0.63095,-0.00217,-0.00861,12
3.93837,-2.9985,-0.63095,-0.00225,-0.00892,12
3.93787,-2.9985,-0.63095,-0.00233,-0.00925,12
3.93719,-2.9985,-0.63095,-0.00242,-0.00958,12
3.93669,-3.00106,-0.63095,-0.0025,-0.00991,12
3.93618,-2.9985,-0.63095,-0.00259,-0.01024,12
3.93568,-3.00106,-0.63095,-0.00267,-0.01057,12
3.93517,-2.9985,-0.63095,-0.00275,-0.0109,12
3.93467,-2.9985,-0.63095,-0.00284,-0.01123,12
3.93416,-2.9985,-0.63095,-0.00292,-0.01156,12
3.93382,-2.9985,-0.63095,-0.003,-0.01189,12
3.93332,-2.9985,-0.63095,-0.00308,-0.0122,12
3.93281,-2.9985,-0.63095,-0.00317,-0.01253,12
3.93247,-3.00106,-0.63095,-0.00325,-0.01286,12
3.93197,-3.00106,-0.63095,-0.00334,-0.01319,12
3.93163,-3.00106,-0.63095,-0.00342,-0.01352,12
3.93113,-3.00106,-0.63095,-0.0035,-0.01384,12
3.93062,-3.00106,-0.63095,-0.00358,-0.01417,12
3.93028,-3.00106,-0.63095,-0.00367,-0.0145,12
3.92978,-2.9985,-0.63095,-0.00375,-0.01484,12
3.92944,-2.9985,-0.63095,-0.00384,-0.01516,12
3.9291,-2.9985,-0.63095,-0.00392,-0.01549,12
3.9286,-2.9985,-0.63095,-0.00401,-0.01583,12
3.92826,-2.9985,-0.63095,-0.00408,-0.01613,12
3.92792,-3.00106,-0.63095,-0.00417,-0.01646,12
3.92759,-3.00106,-0.63095,-0.00426,-0.01681,12
3.92725,-3.00106,-0.63095,-0.00434,-0.01713,12
3.92691,-3.00106,-0.63095,-0.00442,-0.01744,12
3.92641,-3.00106,-0.63095,-0.0045,-0.01778,12
3.92607,-3.00106,-0.63095,-0.00459,-0.01811,12
3.92573,-3.00106,-0.63095,-0.00467,-0.01844,12
3.9254,-3.00106,-0.63095,-0.00475,-0.01875,12
3.92506,-3.00106,-0.63095,-0.00484,-0.01908,12
3.92472,-3.00106,-0.63095,-0.00492,-0.01941,12
3.92438,-3.00106,-0.63095,-0.005,-0.01974,12
3.92405,-3.00106,-0.63095,-0.00509,-0.02008,12
3.92371,-3.00106,-0.63095,-0.00517,-0.02039,12
3.92354,-3.00106,-0.63095,-0.00525,-0.02072,12
3.92304,-3.00106,-0.63095,-0.00534,-0.02105,12
3.92287,-3.00106,-0.63095,-0.00542,-0.02138,12
3.92253,-3.00106,-0.63095,-0.00551,-0.02171,12
