Voltage,Current,Temperature,Capacity,WhAccu,Cnt
4.18312,-0.04342,-19.87496,0,0,2
4.17722,-0.08173,-19.87496,0,-0.00001,2
4.17419,-0.09195,-19.87496,0,-0.00002,2
4.17166,-0.0945,-19.87496,-0.00001,-0.00003,2
4.16964,-0.0945,-19.87496,-0.00001,-0.00004,2
4.16778,-0.0945,-19.87496,-0.00001,-0.00005,2
4.1661,-0.09706,-19.87496,-0.00001,-0.00006,2
4.16458,-0.09706,-19.87496,-0.00002,-0.00007,2
4.16306,-0.09706,-19.87496,-0.00002,-0.00008,2
4.16171,-0.0945,-19.87496,-0.00002,-0.00009,2
4.1602,-0.09706,-19.87496,-0.00003,-0.0001,2
4.15885,-0.09706,-19.87496,-0.00003,-0.00012,2
4.15767,-0.0945,-19.87496,-0.00003,-0.00013,2
4.15632,-0.09706,-19.87496,-0.00003,-0.00014,2
4.15514,-0.0945,-19.87496,-0.00004,-0.00015,2
4.15413,-0.0945,-19.87496,-0.00004,-0.00016,2
4.15278,-0.09706,-19.87496,-0.00004,-0.00017,2
4.15177,-0.09706,-19.87496,-0.00004,-0.00018,2
4.15076,-0.0945,-19.87496,-0.00005,-0.00019,2
4.14975,-0.09706,-19.87496,-0.00005,-0.0002,2
4.14874,-0.0945,-19.87496,-0.00005,-0.00022,2
4.14772,-0.0945,-19.87496,-0.00005,-0.00023,2
4.14671,-0.09706,-19.87496,-0.00006,-0.00024,2
4.14587,-0.0945,-19.87496,-0.00006,-0.00025,2
4.14486,-0.09706,-19.87496,-0.00006,-0.00026,2
4.14402,-0.09706,-19.87496,-0.00006,-0.00027,2
4.14334,-0.0945,-19.87496,-0.00007,-0.00028,2
4.1425,-0.09706,-19.87496,-0.00007,-0.00029,2
4.14166,-0.09706,-19.87496,-0.00007,-0.0003,2
4.14098,-0.0945,-19.87496,-0.00008,-0.00031,2
4.14014,-0.09706,-19.87496,-0.00008,-0.00033,2
4.13946,-0.09706,-19.87496,-0.00008,-0.00034,2
4.13879,-0.0945,-19.87496,-0.00008,-0.00035,2
4.13812,-0.09706,-19.87496,-0.00009,-0.00036,2
4.13761,-0.0945,-19.87496,-0.00009,-0.00037,2
4.13694,-0.0945,-19.87496,-0.00009,-0.00038,2
4.13626,-0.09706,-19.87496,-0.00009,-0.00039,2
4.13559,-0.09706,-19.87496,-0.0001,-0.0004,2
4.13508,-0.0945,-19.87496,-0.0001,-0.00041,2
4.13458,-0.0945,-19.87496,-0.0001,-0.00042,2
4.13407,-0.0945,-19.87496,-0.0001,-0.00044,2
4.13357,-0.09706,-19.87496,-0.00011,-0.00045,2
4.13306,-0.0945,-19.87496,-0.00011,-0.00046,2
4.13255,-0.0945,-19.87496,-0.00011,-0.00047,2
4.13205,-0.0945,-19.87496,-0.00012,-0.00048,2
4.13154,-0.09706,-19.87496,-0.00012,-0.00049,2
4.13104,-0.09706,-19.87496,-0.00012,-0.0005,2
4.1307,-0.09706,-19.87496,-0.00012,-0.00051,2
4.13019,-0.09706,-19.87496,-0.00013,-0.00052,2
