Voltage,Current,Temperature,Capacity,WhAccu,Cnt
4.09699,-1.19787,-19.98012,-0.00004,-0.00015,7
4.06328,-1.0957,-19.98012,-0.00007,-0.00028,7
4.03816,-1.07783,-19.98012,-0.0001,-0.00039,7
4.01456,-1.07527,-19.98012,-0.00013,-0.00052,7
3.99366,-1.08038,-19.98012,-0.00016,-0.00064,7
3.97461,-1.08549,-19.98012,-0.00019,-0.00075,7
3.95725,-1.0906,-19.98012,-0.00022,-0.00087,7
3.94158,-1.0957,-19.98012,-0.00025,-0.00099,7
3.92725,-1.10081,-19.98012,-0.00028,-0.00111,7
3.91461,-1.10337,-19.98012,-0.00031,-0.00123,7
3.90567,-1.07783,-19.98012,-0.00034,-0.00135,7
3.89775,-1.0625,-19.98012,-0.00037,-0.00147,7
3.89118,-1.05995,-19.98012,-0.0004,-0.00158,7
3.8846,-1.05995,-19.98012,-0.00043,-0.0017,7
3.8782,-1.0625,-19.98012,-0.00046,-0.00181,7
3.87348,-1.0625,-19.98012,-0.00049,-0.00192,7
3.86876,-1.06506,-19.98012,-0.00052,-0.00204,7
3.86471,-1.06506,-19.98012,-0.00055,-0.00216,7
3.86101,-1.06761,-19.98012,-0.00057,-0.00227,7
3.85797,-1.06761,-19.98012,-0.00061,-0.00238,7
3.83892,-1.26683,-19.98012,-0.00064,-0.00251,7
3.81499,-1.42518,-19.98012,-0.00068,-0.00266,7
3.8015,-1.47626,-19.98012,-0.00072,-0.00281,7
3.79257,-1.49414,-19.98012,-0.00076,-0.00297,7
3.78566,-1.5018,-19.98012,-0.0008,-0.00313,7
3.78111,-1.50436,-19.98012,-0.00084,-0.00329,7
3.7769,-1.50691,-19.98012,-0.00088,-0.00344,7
3.77336,-1.50947,-19.98012,-0.00093,-0.0036,7
3.77083,-1.50947,-19.98012,-0.00097,-0.00376,7
3.76813,-1.51202,-19.98012,-0.00101,-0.00392,7
3.57159,-4.40836,-19.98012,-0.00113,-0.00436,7
3.50653,-4.53862,-19.98012,-0.00125,-0.00478,7
3.4627,-4.63056,-19.98012,-0.00138,-0.00523,7
3.42983,-4.70463,-19.98012,-0.00151,-0.00568,7
3.41079,-4.74805,-19.98012,-0.00165,-0.00614,7
3.39781,-4.7787,-19.98012,-0.00178,-0.0066,7
3.3882,-4.79658,-19.98012,-0.00191,-0.00704,7
3.38146,-4.8119,-19.98012,-0.00205,-0.0075,7
3.37488,-4.82212,-19.98012,-0.00218,-0.00793,7
3.36966,-4.83234,-19.98012,-0.00231,-0.00839,7
3.29802,-5.98423,-19.98012,-0.00248,-0.00895,7
3.27914,-5.99445,-19.98012,-0.00265,-0.0095,7
3.2692,-5.997,-19.98012,-0.00281,-0.01003,7
3.26077,-5.99956,-19.98012,-0.00298,-0.01058,7
3.25487,-5.99956,-19.98012,-0.00315,-0.01113,7
3.25116,-5.99956,-19.98012,-0.00331,-0.01165,7
3.24728,-5.99956,-19.98012,-0.00348,-0.0122,7
3.24341,-5.99956,-19.98012,-0.00364,-0.01274,7
3.24004,-5.99956,-19.98012,-0.00382,-0.0133,7
3.23751,-5.99956,-19.98012,-0.00397,-0.01381,7
3.57226,-0.63597,-19.98012,-0.00399,-0.01388,7
3.67037,-0.60787,-19.98012,-0.00401,-0.01394,7
3.73172,-0.58999,-19.98012,-0.00403,-0.014,7
3.76897,-0.57978,-19.98012,-0.00404,-0.01406,7
3.79156,-0.57467,-19.98012,-0.00406,-0.01412,7
3.80943,-0.56956,-19.98012,-0.00407,-0.01418,7
3.82359,-0.56701,-19.98012,-0.00409,-0.01424,7
3.83404,-0.56445,-19.98012,-0.00411,-0.0143,7
3.84179,-0.5619,-19.98012,-0.00412,-0.01436,7
3.84904,-0.5619,-19.98012,-0.00414,-0.01442,7
3.45512,-5.99956,-19.98012,-0.00431,-0.01501,7
3.37421,-5.99956,-19.98012,-0.00447,-0.01558,7
3.31302,-5.99956,-19.98012,-0.00464,-0.01613,7
3.27661,-5.99956,-19.98012,-0.0048,-0.01667,7
3.25605,-5.99956,-19.98012,-0.00497,-0.01722,7
3.24476,-5.99956,-19.98012,-0.00514,-0.01775,7
3.23633,-5.99956,-19.98012,-0.0053,-0.01829,7
3.23093,-5.99956,-19.98012,-0.00548,-0.01885,7
3.22672,-5.99956,-19.98012,-0.00564,-0.01938,7
3.22318,-5.99956,-19.98012,-0.0058,-0.01991,7
3.62823,-0.07407,-19.98012,-0.0058,-0.01991,7
3.71655,-0.10727,-19.98012,-0.00581,-0.01992,7
3.77976,-0.11493,-19.98012,-0.00581,-0.01993,7
3.82089,-0.11493,-19.98012,-0.00581,-0.01995,7
3.84904,-0.11493,-19.98012,-0.00582,-0.01996,7
3.86994,-0.11493,-19.98012,-0.00582,-0.01997,7
3.88629,-0.11493,-19.98012,-0.00582,-0.01998,7
3.89961,-0.11238,-19.98012,-0.00583,-0.01999,7
3.91006,-0.11493,-19.98012,-0.00583,-0.02001,7
3.92152,-0.11238,-19.98012,-0.00583,-0.02002,7
3.62721,-4.21169,-19.98012,-0.00595,-0.02045,7
3.52288,-4.43135,-19.98012,-0.00607,-0.02089,7
3.44264,-4.59225,-19.87496,-0.0062,-0.02131,7
3.40151,-4.67909,-19.87496,-0.00633,-0.02176,7
3.36696,-4.75571,-19.87496,-0.00646,-0.02221,7
3.34707,-4.8068,-19.87496,-0.0066,-0.02266,7
3.33426,-4.83745,-19.87496,-0.00673,-0.0231,7
3.32583,-4.85788,-19.87496,-0.00686,-0.02355,7
3.32027,-4.87065,-19.98012,-0.00699,-0.02399,7
3.31521,-4.88086,-19.98012,-0.00713,-0.02444,7
3.78175,1.09571,-19.98012,-0.00711,-0.02435,7
3.88996,1.38433,-19.98012,-0.00707,-0.0242,7
3.97627,1.45074,-19.98012,-0.00703,-0.02404,7
4.0351,1.44818,-19.98012,-0.00699,-0.02389,7
4.08179,1.43286,-19.98012,-0.00695,-0.02372,7
4.11668,1.42009,-19.98012,-0.00691,-0.02355,7
4.14483,1.40732,-19.98012,-0.00687,-0.0234,7
4.17265,1.3971,-19.98012,-0.00683,-0.02323,7
4.19254,1.31281,-19.98012,-0.00679,-0.02308,7
4.19827,1.12892,-19.98012,-0.00676,-0.02294,7
