Voltage,Current,Temperature,Capacity,WhAccu,Cnt
4.18464,-0.04342,23.87099,0,0,4
4.18363,-0.08173,23.87099,0,-0.00001,4
4.18346,-0.08939,23.87099,0,-0.00001,4
4.18329,-0.0945,23.87099,-0.00001,-0.00003,4
4.18312,-0.0945,23.87099,-0.00001,-0.00004,4
4.18312,-0.0945,23.87099,-0.00001,-0.00005,4
4.18312,-0.0945,23.87099,-0.00001,-0.00006,4
4.18312,-0.09706,23.87099,-0.00002,-0.00007,4
4.18312,-0.09706,23.87099,-0.00002,-0.00008,4
4.18312,-0.0945,23.87099,-0.00002,-0.00009,4
4.18312,-0.09706,23.87099,-0.00002,-0.0001,4
4.18295,-0.0945,23.87099,-0.00003,-0.00011,4
4.18295,-0.09706,23.87099,-0.00003,-0.00013,4
4.18295,-0.0945,23.97615,-0.00003,-0.00014,4
4.18295,-0.0945,23.97615,-0.00004,-0.00015,4
4.18295,-0.0945,23.97615,-0.00004,-0.00016,4
4.18295,-0.09706,23.97615,-0.00004,-0.00017,4
4.18295,-0.0945,23.97615,-0.00004,-0.00018,4
4.18295,-0.09706,23.97615,-0.00005,-0.00019,4
4.18295,-0.0945,23.97615,-0.00005,-0.0002,4
4.18295,-0.09706,23.97615,-0.00005,-0.00021,4
4.18278,-0.09706,23.97615,-0.00005,-0.00023,4
4.18278,-0.09706,23.97615,-0.00006,-0.00024,4
4.18278,-0.09706,23.97615,-0.00006,-0.00025,4
4.18278,-0.09706,23.97615,-0.00006,-0.00026,4
4.18278,-0.09706,23.97615,-0.00006,-0.00027,4
4.18278,-0.09706,23.97615,-0.00007,-0.00028,4
4.18278,-0.09706,23.97615,-0.00007,-0.00029,4
4.18278,-0.09706,23.97615,-0.00007,-0.00031,4
4.18278,-0.09706,23.97615,-0.00008,-0.00032,4
4.18278,-0.09706,23.97615,-0.00008,-0.00033,4
4.18278,-0.09706,23.97615,-0.00008,-0.00034,4
4.18278,-0.09706,23.97615,-0.00008,-0.00035,4
4.18278,-0.09706,23.97615,-0.00009,-0.00036,4
4.18278,-0.09706,23.97615,-0.00009,-0.00037,4
4.18262,-0.09706,23.97615,-0.00009,-0.00038,4
4.18262,-0.09706,23.97615,-0.00009,-0.0004,4
4.18262,-0.09706,23.97615,-0.0001,-0.00041,4
4.18262,-0.09706,23.97615,-0.0001,-0.00042,4
4.18262,-0.09706,23.97615,-0.0001,-0.00043,4
4.18262,-0.09706,23.97615,-0.00011,-0.00044,4
4.18262,-0.09706,23.97615,-0.00011,-0.00045,4
4.18262,-0.09706,23.97615,-0.00011,-0.00046,4
4.18262,-0.09706,23.97615,-0.00011,-0.00047,4
4.18262,-0.09706,23.97615,-0.00012,-0.00049,4
4.18262,-0.09706,23.97615,-0.00012,-0.0005,4
4.18262,-0.09706,23.97615,-0.00012,-0.00051,4
4.18262,-0.09706,23.97615,-0.00012,-0.00052,4
4.18262,-0.09706,23.97615,-0.00013,-0.00053,4
4.18262,-0.09706,23.97615,-0.00013,-0.00054,4
4.18245,-0.09706,23.97615,-0.00013,-0.00055,4
4.18245,-0.09706,23.97615,-0.00013,-0.00056,4
4.18245,-0.09706,23.97615,-0.00014,-0.00058,4
4.18245,-0.09706,23.97615,-0.00014,-0.00059,4
4.18245,-0.09706,23.97615,-0.00014,-0.0006,4
4.18245,-0.09706,23.97615,-0.00015,-0.00061,4
4.18245,-0.09706,23.97615,-0.00015,-0.00062,4
4.18245,-0.09706,23.97615,-0.00015,-0.00063,4
4.18245,-0.09706,23.97615,-0.00015,-0.00064,4
4.18245,-0.09706,23.97615,-0.00016,-0.00065,4
4.18245,-0.09706,23.97615,-0.00016,-0.00067,4
4.18245,-0.09706,23.97615,-0.00016,-0.00068,4
4.18245,-0.09706,23.97615,-0.00016,-0.00069,4
4.18245,-0.09706,23.97615,-0.00017,-0.0007,4
