Voltage,Current,Temperature,Capacity,WhAccu,Cnt
4.18582,-0.03576,-9.8849,0,0,2
4.18211,-0.07662,-9.99006,0,-0.00001,2
4.18009,-0.08939,-9.99006,0,-0.00002,2
4.17823,-0.0945,-9.8849,-0.00001,-0.00003,2
4.17672,-0.0945,-9.8849,-0.00001,-0.00004,2
4.17554,-0.0945,-9.8849,-0.00001,-0.00005,2
4.17436,-0.09706,-9.8849,-0.00002,-0.00006,2
4.17335,-0.09706,-9.8849,-0.00002,-0.00007,2
4.1725,-0.0945,-9.8849,-0.00002,-0.00009,2
4.17166,-0.09706,-9.8849,-0.00002,-0.0001,2
4.17082,-0.09706,-9.8849,-0.00003,-0.00011,2
4.17014,-0.0945,-9.8849,-0.00003,-0.00012,2
4.16947,-0.0945,-9.8849,-0.00003,-0.00013,2
4.16879,-0.09706,-9.8849,-0.00003,-0.00014,2
4.16829,-0.09706,-9.8849,-0.00004,-0.00015,2
4.16778,-0.0945,-9.8849,-0.00004,-0.00016,2
4.16728,-0.09706,-9.8849,-0.00004,-0.00017,2
4.16677,-0.09706,-9.8849,-0.00004,-0.00018,2
4.16643,-0.0945,-9.8849,-0.00005,-0.0002,2
4.16593,-0.09706,-9.8849,-0.00005,-0.00021,2
4.16559,-0.09706,-9.8849,-0.00005,-0.00022,2
4.16525,-0.0945,-9.8849,-0.00005,-0.00023,2
4.16509,-0.0945,-9.8849,-0.00006,-0.00024,2
4.16475,-0.09706,-9.8849,-0.00006,-0.00025,2
4.16441,-0.09706,-9.8849,-0.00006,-0.00026,2
4.16424,-0.09706,-9.8849,-0.00007,-0.00027,2
4.16391,-0.09706,-9.8849,-0.00007,-0.00028,2
4.16374,-0.09706,-9.8849,-0.00007,-0.0003,2
4.16357,-0.0945,-9.8849,-0.00007,-0.00031,2
4.1634,-0.0945,-9.8849,-0.00008,-0.00032,2
4.16323,-0.0945,-9.8849,-0.00008,-0.00033,2
4.16306,-0.0945,-9.8849,-0.00008,-0.00034,2
4.16289,-0.0945,-9.8849,-0.00008,-0.00035,2
4.16273,-0.09706,-9.8849,-0.00009,-0.00036,2
4.16256,-0.09706,-9.8849,-0.00009,-0.00037,2
4.16239,-0.0945,-9.8849,-0.00009,-0.00038,2
4.16222,-0.09706,-9.8849,-0.00009,-0.0004,2
4.16222,-0.09706,-9.8849,-0.0001,-0.00041,2
4.16205,-0.09706,-9.8849,-0.0001,-0.00042,2
4.16188,-0.09706,-9.8849,-0.0001,-0.00043,2
4.16188,-0.09706,-9.8849,-0.00011,-0.00044,2
4.16171,-0.0945,-9.8849,-0.00011,-0.00045,2
4.16171,-0.0945,-9.8849,-0.00011,-0.00046,2
4.16155,-0.0945,-9.8849,-0.00011,-0.00047,2
4.16155,-0.09706,-9.8849,-0.00012,-0.00048,2
4.16138,-0.09706,-9.8849,-0.00012,-0.0005,2
4.16138,-0.09706,-9.8849,-0.00012,-0.00051,2
4.16121,-0.09706,-9.99006,-0.00012,-0.00052,2
4.16121,-0.09706,-9.99006,-0.00013,-0.00053,2
4.16121,-0.0945,-9.99006,-0.00013,-0.00054,2
4.16104,-0.0945,-9.8849,-0.00013,-0.00055,2
4.16104,-0.09706,-9.8849,-0.00013,-0.00056,2
4.16087,-0.09706,-9.8849,-0.00014,-0.00057,2
4.16087,-0.09706,-9.8849,-0.00014,-0.00058,2
4.16087,-0.0945,-9.8849,-0.00014,-0.0006,2
4.16087,-0.0945,-9.8849,-0.00015,-0.00061,2
4.1607,-0.09706,-9.8849,-0.00015,-0.00062,2
4.1607,-0.09706,-9.8849,-0.00015,-0.00063,2
4.1607,-0.0945,-9.8849,-0.00015,-0.00064,2
4.16053,-0.09706,-9.8849,-0.00016,-0.00065,2
4.16053,-0.09706,-9.8849,-0.00016,-0.00066,2
4.16037,-0.09706,-9.8849,-0.00016,-0.00067,2
4.1602,-0.09706,-9.8849,-0.00016,-0.00068,2
4.1602,-0.09706,-9.8849,-0.00017,-0.0007,2
4.16003,-0.09961,-9.8849,-0.00017,-0.00071,2
4.16003,-0.09706,-9.8849,-0.00017,-0.00072,2
4.16003,-0.09706,-9.8849,-0.00018,-0.00073,2
4.15986,-0.09961,-9.8849,-0.00018,-0.00074,2
4.15986,-0.09961,-9.8849,-0.00018,-0.00075,2
4.15986,-0.09961,-9.8849,-0.00018,-0.00076,2
4.15952,-0.10472,-9.8849,-0.00019,-0.00078,2
4.15885,-0.11238,-9.8849,-0.00019,-0.00079,2
4.15834,-0.11238,-9.8849,-0.00019,-0.0008,2
4.15801,-0.11238,-9.8849,-0.0002,-0.00082,2
4.15784,-0.11493,-9.8849,-0.0002,-0.00083,2
4.15767,-0.11493,-9.8849,-0.0002,-0.00084,2
4.15733,-0.11238,-9.8849,-0.00021,-0.00085,2
4.15716,-0.11238,-9.8849,-0.00021,-0.00087,2
4.157,-0.11493,-9.8849,-0.00021,-0.00088,2
4.15666,-0.11493,-9.8849,-0.00021,-0.00089,2
4.15632,-0.12004,-9.8849,-0.00022,-0.00091,2
4.15565,-0.12515,-9.8849,-0.00022,-0.00092,2
4.15531,-0.12515,-9.8849,-0.00023,-0.00094,2
4.15497,-0.12515,-9.77974,-0.00023,-0.00095,2
4.15464,-0.12515,-9.77974,-0.00023,-0.00097,2
4.1543,-0.1277,-9.77974,-0.00024,-0.00098,2
4.15413,-0.12515,-9.77974,-0.00024,-0.00099,2
4.15396,-0.1277,-9.8849,-0.00024,-0.00101,2
4.15379,-0.1277,-9.8849,-0.00025,-0.00102,2
4.15362,-0.1277,-9.8849,-0.00025,-0.00104,2
4.15278,-0.13792,-9.8849,-0.00025,-0.00105,2
4.15126,-0.15325,-9.8849,-0.00026,-0.00107,2
4.15042,-0.15835,-9.8849,-0.00026,-0.00109,2
4.14975,-0.15835,-9.8849,-0.00027,-0.00111,2
4.14907,-0.15835,-9.8849,-0.00027,-0.00113,2
4.14857,-0.15835,-9.8849,-0.00028,-0.00114,2
4.14806,-0.16091,-9.8849,-0.00028,-0.00116,2
4.14772,-0.15835,-9.8849,-0.00028,-0.00118,2
4.14722,-0.16091,-9.8849,-0.00029,-0.0012,2
4.14688,-0.16091,-9.8849,-0.00029,-0.00122,2
4.11519,-1.4022,-9.8849,-0.00033,-0.00137,2
4.05148,-1.67548,-9.8849,-0.00037,-0.00155,2
4.01574,-1.75977,-9.8849,-0.00042,-0.00175,2
3.99012,-1.79297,-9.8849,-0.00047,-0.00195,2
3.97074,-1.8083,-9.8849,-0.00053,-0.00215,2
3.9559,-1.82107,-9.8849,-0.00057,-0.00235,2
3.94444,-1.82873,-9.8849,-0.00063,-0.00255,2
3.93568,-1.83384,-9.8849,-0.00068,-0.00275,2
3.92944,-1.83639,-9.8849,-0.00073,-0.00295,2
3.92422,-1.8415,-9.8849,-0.00078,-0.00315,2
3.80184,-4.27299,-9.8849,-0.0009,-0.0036,2
3.76476,-4.36238,-9.8849,-0.00102,-0.00405,2
3.73712,-4.41857,-9.8849,-0.00114,-0.00452,2
3.71925,-4.45178,-9.8849,-0.00126,-0.00496,2
3.70795,-4.47476,-9.8849,-0.00138,-0.00542,2
3.7002,-4.49009,-9.8849,-0.00151,-0.00589,2
3.69514,-4.50031,-9.8849,-0.00164,-0.00636,2
3.69042,-4.50797,-9.8849,-0.00176,-0.00683,2
3.68722,-4.51308,-9.8849,-0.00188,-0.00727,2
3.68402,-4.51818,-9.8849,-0.00201,-0.00775,2
3.56906,-7.21275,-9.8849,-0.00221,-0.00844,2
3.53501,-7.35322,-9.8849,-0.00241,-0.00916,2
3.51175,-7.44772,-9.8849,-0.00262,-0.0099,2
3.49742,-7.50647,-9.8849,-0.00283,-0.01064,2
3.489,-7.53712,-9.8849,-0.00304,-0.01137,2
3.4836,-7.55755,-9.8849,-0.00324,-0.01207,2
3.47888,-7.57032,-9.8849,-0.00347,-0.01285,2
3.47433,-7.58309,-9.8849,-0.00366,-0.01353,2
3.47113,-7.59075,-9.8849,-0.00388,-0.01428,2
3.46776,-7.59842,-9.8849,-0.0041,-0.01505,2
3.33123,-11.0541,-9.8849,-0.00439,-0.01603,2
3.29397,-11.31717,-9.8849,-0.0047,-0.01704,2
3.26953,-11.48829,-9.8849,-0.00502,-0.01808,2
3.25436,-11.59301,-9.8849,-0.00535,-0.01915,2
3.24509,-11.65176,-9.8849,-0.00568,-0.02022,2
3.23869,-11.68496,-9.8849,-0.00598,-0.02122,2
3.23279,-11.71305,-9.8849,-0.00632,-0.0223,2
3.22723,-11.7386,-9.8849,-0.00665,-0.02336,2
3.22284,-11.75647,-9.8849,-0.00698,-0.02443,2
3.21795,-11.77435,-9.8849,-0.0073,-0.02546,2
3.75562,0.14814,-9.8849,-0.0073,-0.02545,2
3.85726,0.42143,-9.8849,-0.00729,-0.02541,2
3.92081,0.47762,-9.8849,-0.00727,-0.02536,2
3.96717,0.49039,-9.8849,-0.00726,-0.02531,2
4.00206,0.49039,-9.8849,-0.00725,-0.02525,2
4.02448,0.48784,-9.8849,-0.00723,-0.0252,2
4.04454,0.48528,-9.8849,-0.00722,-0.02514,2
4.06139,0.48273,-9.8849,-0.00721,-0.02509,2
4.07606,0.48017,-9.8849,-0.00719,-0.02503,2
4.08904,0.48017,-9.8849,-0.00718,-0.02498,2
3.79325,-6.17068,-9.8849,-0.00735,-0.02562,2
3.6916,-6.5589,-9.8849,-0.00753,-0.02629,2
3.60631,-6.79132,-9.8849,-0.00771,-0.02695,2
3.54428,-6.97777,-9.8849,-0.00791,-0.02767,2
3.50619,-7.11058,-9.8849,-0.00811,-0.02835,2
3.48799,-7.1821,-9.8849,-0.0083,-0.02902,2
3.47534,-7.23318,-9.8849,-0.0085,-0.02973,2
3.46793,-7.26128,-9.99006,-0.00871,-0.03045,2
3.46287,-7.27915,-9.99006,-0.00891,-0.03112,2
3.45933,-7.28937,-9.99006,-0.00911,-0.03184,2
3.37117,-9.47056,-9.99006,-0.00937,-0.03272,2
3.33814,-9.7413,-9.99006,-0.00963,-0.03359,2
3.31943,-9.87922,-9.99006,-0.00991,-0.03452,2
3.30898,-9.94818,-9.99006,-0.01019,-0.03544,2
3.3024,-9.98904,-9.99006,-0.01048,-0.03638,2
3.29751,-10.01203,-9.99006,-0.01074,-0.03726,2
3.29397,-10.02736,-9.99006,-0.01102,-0.03818,2
3.29027,-10.04013,-9.8849,-0.0113,-0.0391,2
3.28723,-10.05034,-9.8849,-0.01159,-0.04004,2
3.2847,-10.058,-9.8849,-0.01186,-0.04092,2
3.39545,-7.01353,-9.8849,-0.01206,-0.04161,2
3.43506,-6.73769,-9.8849,-0.01224,-0.04224,2
3.45377,-6.62275,-9.8849,-0.01243,-0.04287,2
3.46405,-6.56146,-9.8849,-0.01261,-0.04352,2
3.46826,-6.53591,-9.8849,-0.0128,-0.04416,2
3.47029,-6.52314,-9.8849,-0.01297,-0.04476,2
3.47096,-6.51804,-9.77974,-0.01316,-0.04541,2
3.47113,-6.51548,-9.77974,-0.01333,-0.04602,2
3.4713,-6.51548,-9.77974,-0.01351,-0.04665,2
3.47096,-6.51548,-9.77974,-0.0137,-0.04729,2
3.48293,-6.2473,-9.77974,-0.01388,-0.04791,2
