Voltage,Current,Temperature,Capacity,WhAccu,Cnt
3.10125,0,23.97615,0,0,11
3.10192,0,23.87099,0,0,11
3.1026,0,23.97615,0,0,11
3.10344,0,23.87099,0,0,11
3.10412,0,23.97615,0,0,11
3.10462,0,23.97615,0,0,11
3.1053,0,23.97615,0,0,11
3.10597,0,23.97615,0,0,11
3.10648,0,23.87099,0,0,11
3.10715,0,23.97615,0,0,11
3.10766,0,23.87099,0,0,11
3.10833,0,23.87099,0,0,11
3.10884,0,23.87099,0,0,11
3.10934,0,23.87099,0,0,11
3.11002,0,23.97615,0,0,11
3.11052,0,23.97615,0,0,11
3.11103,0,23.87099,0,0,11
3.11136,0,23.97615,0,0,11
3.11187,0,23.87099,0,0,11
3.11238,0,23.87099,0,0,11
3.11288,0,23.87099,0,0,11
3.11339,0,23.87099,0,0,11
3.11372,0,23.97615,0,0,11
3.11423,0,23.97615,0,0,11
3.11474,0,23.97615,0,0,11
3.11507,0,23.87099,0,0,11
3.11558,0,23.97615,0,0,11
3.11592,0,23.87099,0,0,11
3.11625,0,23.87099,0,0,11
3.11676,0,23.97615,0,0,11
3.1171,0,23.87099,0,0,11
3.11743,0,23.87099,0,0,11
3.11777,0,23.87099,0,0,11
3.11811,0,23.97615,0,0,11
3.11844,0,23.87099,0,0,11
3.11878,0,23.76583,0,0,11
3.11912,0,23.97615,0,0,11
3.11946,0,23.87099,0,0,11
3.11996,0,23.87099,0,0,11
3.1203,0,23.87099,0,0,11
3.12047,0,23.97615,0,0,11
3.1208,0,23.76583,0,0,11
3.12114,0,23.87099,0,0,11
3.12148,0,23.97615,0,0,11
3.12182,0,24.0813,0,0,11
3.12215,0,23.87099,0,0,11
3.12249,0,23.87099,0,0,11
3.12266,0,23.97615,0,0,11
3.123,0,23.97615,0,0,11
3.12333,0,23.87099,0,0,11
3.12367,0,23.76583,0,0,11
3.12384,0,23.87099,0,0,11
3.12417,0,23.97615,0,0,11
3.12434,0,23.87099,0,0,11
3.12468,0,23.76583,0,0,11
3.12502,0,23.87099,0,0,11
3.12519,0,23.76583,0,0,11
3.12552,0,23.87099,0,0,11
3.12569,0,23.97615,0,0,11
3.12603,0,23.87099,0,0,11
3.12603,0,23.87099,0,0,11
3.41697,2.99853,23.87099,0.04989,0.16647,11
3.4967,2.99853,23.97615,0.09987,0.33948,11
3.52468,2.99853,24.29162,0.14985,0.51507,11
3.54457,3.00108,24.50194,0.19982,0.6917,11
3.56497,2.99853,24.50194,0.2498,0.86937,11
3.58469,2.99853,24.50194,0.29978,1.04805,11
3.60324,2.99853,24.6071,0.34976,1.22766,11
3.62077,2.99853,24.71226,0.39974,1.40818,11
3.63762,2.99853,24.92257,0.44972,1.58959,11
3.65364,2.99853,24.81741,0.4997,1.77178,11
3.6678,2.99853,24.71226,0.54967,1.95474,11
3.68027,2.99853,24.81741,0.59965,2.13836,11
3.69173,2.99853,24.81741,0.64963,2.32258,11
3.70336,2.99853,24.81741,0.6996,2.50738,11
