Voltage,Current,Temperature,Capacity,WhAccu,Cnt
4.18481,-0.04342,23.87099,0,0,6
4.18396,-0.07918,23.87099,0,-0.00001,6
4.1838,-0.08939,23.87099,0,-0.00002,6
4.18363,-0.09195,23.87099,-0.00001,-0.00003,6
4.18346,-0.0945,23.87099,-0.00001,-0.00004,6
4.18346,-0.0945,23.87099,-0.00001,-0.00005,6
4.18346,-0.0945,23.87099,-0.00001,-0.00006,6
4.18329,-0.0945,23.87099,-0.00002,-0.00007,6
4.18329,-0.0945,23.87099,-0.00002,-0.00008,6
4.18329,-0.09706,23.87099,-0.00002,-0.0001,6
4.18329,-0.0945,23.87099,-0.00003,-0.00011,6
4.18329,-0.09706,23.87099,-0.00003,-0.00012,6
4.18329,-0.0945,23.87099,-0.00003,-0.00013,6
4.18329,-0.0945,23.87099,-0.00003,-0.00014,6
4.18329,-0.09706,23.87099,-0.00004,-0.00015,6
4.18329,-0.09706,23.87099,-0.00004,-0.00016,6
4.18329,-0.0945,23.87099,-0.00004,-0.00017,6
4.18312,-0.0945,23.87099,-0.00004,-0.00018,6
4.18312,-0.0945,23.87099,-0.00005,-0.00019,6
4.18312,-0.0945,23.87099,-0.00005,-0.00021,6
4.18312,-0.09706,23.87099,-0.00005,-0.00022,6
4.18312,-0.0945,23.87099,-0.00005,-0.00023,6
4.18312,-0.0945,23.97615,-0.00006,-0.00024,6
4.18312,-0.0945,23.97615,-0.00006,-0.00025,6
4.18312,-0.0945,23.97615,-0.00006,-0.00026,6
4.18312,-0.09706,23.97615,-0.00007,-0.00027,6
4.18312,-0.0945,23.97615,-0.00007,-0.00028,6
4.18312,-0.0945,23.97615,-0.00007,-0.00029,6
4.18312,-0.09706,23.97615,-0.00007,-0.0003,6
4.18295,-0.09706,23.97615,-0.00008,-0.00032,6
4.18295,-0.0945,23.97615,-0.00008,-0.00033,6
4.18295,-0.0945,23.97615,-0.00008,-0.00034,6
4.18295,-0.0945,23.97615,-0.00008,-0.00035,6
4.18295,-0.0945,23.97615,-0.00009,-0.00036,6
4.18295,-0.0945,23.97615,-0.00009,-0.00037,6
4.18295,-0.0945,23.97615,-0.00009,-0.00038,6
4.18295,-0.0945,23.97615,-0.00009,-0.00039,6
4.18295,-0.0945,23.97615,-0.0001,-0.0004,6
4.18295,-0.0945,23.97615,-0.0001,-0.00042,6
4.18295,-0.0945,23.97615,-0.0001,-0.00043,6
4.18295,-0.0945,23.97615,-0.0001,-0.00044,6
4.18295,-0.09706,23.97615,-0.00011,-0.00045,6
4.18295,-0.09706,23.97615,-0.00011,-0.00046,6
4.18295,-0.0945,23.97615,-0.00011,-0.00047,6
4.18295,-0.09706,23.97615,-0.00012,-0.00048,6
4.18278,-0.0945,23.97615,-0.00012,-0.00049,6
4.18278,-0.0945,23.97615,-0.00012,-0.0005,6
4.18278,-0.09706,23.97615,-0.00012,-0.00051,6
4.18278,-0.0945,23.97615,-0.00013,-0.00053,6
4.18278,-0.0945,23.97615,-0.00013,-0.00054,6
4.18278,-0.09706,23.97615,-0.00013,-0.00055,6
4.18278,-0.09706,23.97615,-0.00013,-0.00056,6
4.18278,-0.0945,23.97615,-0.00014,-0.00057,6
4.18278,-0.0945,23.97615,-0.00014,-0.00058,6
4.18278,-0.09706,23.97615,-0.00014,-0.00059,6
4.18278,-0.0945,23.97615,-0.00014,-0.0006,6
4.18278,-0.0945,23.97615,-0.00015,-0.00061,6
4.18278,-0.0945,23.97615,-0.00015,-0.00063,6
4.18278,-0.0945,23.97615,-0.00015,-0.00064,6
4.18278,-0.0945,23.97615,-0.00015,-0.00065,6
4.18262,-0.09706,23.97615,-0.00016,-0.00066,6
4.18262,-0.09706,23.97615,-0.00016,-0.00067,6
4.18262,-0.09706,23.97615,-0.00016,-0.00068,6
4.18262,-0.09706,23.97615,-0.00017,-0.00069,6
4.18262,-0.09706,23.97615,-0.00017,-0.0007,6
4.18262,-0.09706,23.97615,-0.00017,-0.00072,6
4.18262,-0.09961,23.97615,-0.00017,-0.00073,6
4.18262,-0.09706,23.97615,-0.00018,-0.00074,6
4.18262,-0.09706,23.97615,-0.00018,-0.00075,6
4.18262,-0.09961,23.97615,-0.00018,-0.00076,6
4.18245,-0.10472,23.97615,-0.00018,-0.00077,6
4.18228,-0.11238,23.97615,-0.00019,-0.00079,6
4.18228,-0.11238,23.97615,-0.00019,-0.0008,6
4.18211,-0.11238,23.97615,-0.00019,-0.00081,6
4.18211,-0.11238,23.97615,-0.0002,-0.00082,6
4.18211,-0.11493,23.97615,-0.0002,-0.00084,6
4.18211,-0.11238,23.97615,-0.0002,-0.00085,6
4.18211,-0.11238,23.97615,-0.00021,-0.00086,6
4.18211,-0.11238,23.97615,-0.00021,-0.00088,6
4.18211,-0.11238,23.97615,-0.00021,-0.00089,6
4.18194,-0.12004,23.97615,-0.00022,-0.0009,6
4.18194,-0.1226,23.97615,-0.00022,-0.00092,6
4.18177,-0.1226,23.87099,-0.00022,-0.00093,6
4.18177,-0.1226,23.87099,-0.00023,-0.00095,6
4.18177,-0.12515,23.87099,-0.00023,-0.00096,6
4.18177,-0.1226,23.87099,-0.00023,-0.00098,6
4.18177,-0.1226,23.87099,-0.00024,-0.00099,6
4.18177,-0.12515,23.87099,-0.00024,-0.001,6
4.18177,-0.1226,23.87099,-0.00024,-0.00102,6
4.18177,-0.1226,23.87099,-0.00025,-0.00103,6
4.18144,-0.14303,23.87099,-0.00025,-0.00105,6
4.1811,-0.1558,23.87099,-0.00025,-0.00107,6
4.18093,-0.15835,23.87099,-0.00026,-0.00108,6
4.18093,-0.15835,23.87099,-0.00026,-0.0011,6
4.18093,-0.15835,23.87099,-0.00027,-0.00112,6
4.18076,-0.15835,23.87099,-0.00027,-0.00114,6
4.18076,-0.15835,23.87099,-0.00028,-0.00116,6
4.18076,-0.16091,23.87099,-0.00028,-0.00118,6
4.18076,-0.15835,23.87099,-0.00029,-0.00119,6
4.18076,-0.15835,23.87099,-0.00029,-0.00121,6
4.16424,-1.65505,23.87099,-0.00034,-0.0014,6
4.15093,-1.71379,23.87099,-0.00038,-0.0016,6
4.14654,-1.73423,23.87099,-0.00043,-0.0018,6
4.14486,-1.74189,23.87099,-0.00048,-0.002,6
4.14402,-1.74444,23.87099,-0.00053,-0.0022,6
4.14334,-1.74444,23.87099,-0.00058,-0.0024,6
4.143,-1.74444,23.87099,-0.00063,-0.00261,6
4.1425,-1.74444,23.87099,-0.00067,-0.00281,6
4.14216,-1.747,23.87099,-0.00072,-0.00301,6
4.14182,-1.74444,23.87099,-0.00077,-0.00321,6
4.11502,-3.9665,23.97615,-0.00088,-0.00365,6
