Voltage,Current,Temperature,Capacity,WhAccu,Cnt
4.12328,-1.49925,38.38286,0.15192,0.71189,14
4.10457,-1.49925,38.59318,0.12695,0.60916,14
4.09075,-1.4967,38.69834,0.10197,0.50682,14
4.0798,-1.49925,38.38286,0.07699,0.40478,14
4.07103,-1.49925,38.38286,0.05201,0.30295,14
4.06412,-1.4967,38.48802,0.02704,0.20138,14
4.05822,-1.49925,38.59318,0.00206,0.09995,14
4.05333,-1.49925,38.59318,-0.02291,-0.00133,14
4.04878,-1.4967,38.27771,-0.04789,-0.1025,14
4.04473,-1.49925,38.48802,-0.07286,-0.20354,14
4.04103,-1.49925,38.59318,-0.09783,-0.30452,14
4.03732,-1.49925,38.69834,-0.12282,-0.40544,14
4.03361,-1.49925,38.59318,-0.14779,-0.50622,14
4.02973,-1.49925,38.38286,-0.17277,-0.60692,14
4.02552,-1.49925,38.38286,-0.19775,-0.70753,14
4.02097,-1.4967,38.59318,-0.22272,-0.80801,14
4.01557,-1.4967,38.59318,-0.2477,-0.90839,14
4.00951,-1.49925,38.59318,-0.27268,-1.00862,14
4.00209,-1.4967,38.48802,-0.29766,-1.10866,14
3.99383,-1.49925,38.59318,-0.32264,-1.20854,14
3.9849,-1.49925,38.69834,-0.34762,-1.30819,14
3.97546,-1.49925,38.59318,-0.37259,-1.40758,14
3.96551,-1.4967,38.59318,-0.39756,-1.50675,14
3.9554,-1.49925,38.59318,-0.42254,-1.60566,14
3.94512,-1.49925,38.59318,-0.44752,-1.70432,14
3.93483,-1.49925,38.59318,-0.47249,-1.80273,14
3.92472,-1.49925,38.69834,-0.49747,-1.90088,14
3.91478,-1.49925,38.59318,-0.52245,-1.99879,14
3.905,-1.4967,38.59318,-0.54742,-2.09642,14
3.89573,-1.49925,38.48802,-0.5724,-2.19384,14
3.88696,-1.4967,38.59318,-0.59737,-2.29102,14
3.87837,-1.4967,38.59318,-0.62234,-2.38799,14
3.87011,-1.49925,38.59318,-0.64732,-2.48475,14
3.86219,-1.49925,38.59318,-0.6723,-2.58131,14
3.85443,-1.49925,38.48802,-0.69726,-2.67764,14
