Voltage,Current,Temperature,Capacity,WhAccu,Cnt
4.17301,-0.14558,9.14879,-0.00245,-0.01021,13
4.16913,-0.14558,9.14879,-0.00489,-0.02042,13
4.16593,-0.14558,8.83332,-0.00734,-0.03064,13
4.16289,-0.14814,8.72816,-0.0098,-0.04084,13
4.1602,-0.14814,8.83332,-0.01225,-0.05104,13
4.15784,-0.14558,8.93848,-0.0147,-0.06124,13
4.15548,-0.14558,9.14879,-0.01715,-0.07142,13
4.15312,-0.14558,9.04363,-0.0196,-0.0816,13
4.1511,-0.14558,9.04363,-0.02205,-0.09177,13
4.1489,-0.14558,8.93848,-0.0245,-0.10194,13
4.14688,-0.14558,9.04363,-0.02695,-0.11211,13
4.14486,-0.14814,9.04363,-0.0294,-0.12226,13
4.143,-0.14814,9.14879,-0.03185,-0.13242,13
4.14132,-0.14814,9.14879,-0.0343,-0.14256,13
4.13946,-0.14814,9.14879,-0.03675,-0.15272,13
4.13778,-0.14558,8.93848,-0.0392,-0.16286,13
4.13609,-0.14814,9.04363,-0.04165,-0.173,13
4.13441,-0.14814,9.04363,-0.0441,-0.18313,13
4.13289,-0.14558,9.04363,-0.04655,-0.19326,13
4.13137,-0.14814,8.93848,-0.049,-0.20338,13
4.12986,-0.14558,9.04363,-0.05145,-0.2135,13
4.12834,-0.14558,9.04363,-0.0539,-0.22361,13
4.12699,-0.14814,9.14879,-0.05635,-0.23373,13
4.12564,-0.14558,9.04363,-0.0588,-0.24384,13
4.12429,-0.14558,9.04363,-0.06125,-0.25394,13
4.12295,-0.14814,8.93848,-0.0637,-0.26404,13
4.12177,-0.14814,9.04363,-0.06615,-0.27414,13
4.12059,-0.14558,8.93848,-0.0686,-0.28424,13
4.11941,-0.14558,9.14879,-0.07106,-0.29435,13
4.11823,-0.14814,9.14879,-0.0735,-0.30444,13
4.11705,-0.14558,9.14879,-0.07595,-0.31452,13
4.11587,-0.14814,9.04363,-0.0784,-0.32461,13
4.11486,-0.14558,8.93848,-0.08085,-0.3347,13
4.11368,-0.14558,8.93848,-0.0833,-0.34477,13
4.11266,-0.14814,9.14879,-0.08575,-0.35485,13
4.11182,-0.14814,9.25395,-0.08821,-0.36493,13
4.11081,-0.14558,9.14879,-0.09066,-0.37501,13
4.1098,-0.14814,9.04363,-0.09311,-0.38508,13
4.10896,-0.14814,8.93848,-0.09556,-0.39515,13
4.10794,-0.14814,9.04363,-0.09801,-0.40522,13
4.1071,-0.14558,9.04363,-0.10046,-0.41528,13
4.10626,-0.14558,9.25395,-0.10291,-0.42534,13
4.10542,-0.14558,9.04363,-0.10536,-0.4354,13
4.10457,-0.14558,8.93848,-0.1078,-0.44545,13
4.10373,-0.14814,8.83332,-0.11025,-0.4555,13
4.10306,-0.14558,9.04363,-0.1127,-0.46555,13
4.10238,-0.14558,9.14879,-0.11515,-0.4756,13
4.10154,-0.14558,9.25395,-0.11761,-0.48566,13
4.10086,-0.14814,8.93848,-0.12006,-0.49572,13
4.10019,-0.14558,9.04363,-0.1225,-0.50574,13
4.09935,-0.14558,9.04363,-0.12495,-0.51579,13
4.09867,-0.14814,9.14879,-0.1274,-0.52584,13
4.09817,-0.14814,9.14879,-0.12985,-0.53588,13
4.09749,-0.14814,9.04363,-0.1323,-0.54592,13
4.09682,-0.14814,8.93848,-0.13477,-0.556,13
4.09631,-0.14558,9.04363,-0.13722,-0.56604,13
4.09564,-0.14558,9.14879,-0.13967,-0.57608,13
4.09513,-0.14558,9.14879,-0.14212,-0.58611,13
4.09446,-0.14814,9.14879,-0.14457,-0.59614,13
4.09395,-0.14814,8.93848,-0.14702,-0.60617,13
4.09345,-0.14814,9.04363,-0.14946,-0.61618,13
4.09277,-0.14558,9.04363,-0.15191,-0.62621,13
4.09227,-0.14558,9.14879,-0.15436,-0.63623,13
4.09176,-0.14558,9.14879,-0.15681,-0.64626,13
4.09126,-0.14814,9.04363,-0.15926,-0.65628,13
4.09075,-0.14558,8.93848,-0.16171,-0.6663,13
4.09025,-0.14558,9.04363,-0.16416,-0.67633,13
4.08991,-0.14558,9.04363,-0.16661,-0.68636,13
4.0894,-0.14558,9.14879,-0.16904,-0.6963,13
4.0889,-0.14814,9.14879,-0.1715,-0.70633,13
