Voltage,Current,Temperature,Capacity,WhAccu,Cnt
4.18616,-0.04342,-0.63095,0,0,7
4.18413,-0.07918,-0.63095,0,-0.00001,7
4.18245,-0.09195,-0.63095,0,-0.00002,7
4.18127,-0.0945,-0.63095,-0.00001,-0.00003,7
4.18042,-0.0945,-0.63095,-0.00001,-0.00004,7
4.17992,-0.09706,-0.63095,-0.00001,-0.00005,7
4.17941,-0.09706,-0.63095,-0.00002,-0.00006,7
4.17891,-0.09706,-0.63095,-0.00002,-0.00007,7
4.17857,-0.09706,-0.63095,-0.00002,-0.00009,7
4.17823,-0.09706,-0.63095,-0.00002,-0.0001,7
4.17806,-0.09706,-0.63095,-0.00003,-0.00011,7
4.1779,-0.09706,-0.63095,-0.00003,-0.00012,7
4.17773,-0.09706,-0.63095,-0.00003,-0.00013,7
4.17756,-0.09706,-0.52579,-0.00003,-0.00014,7
4.17739,-0.09706,-0.52579,-0.00004,-0.00015,7
4.17722,-0.0945,-0.52579,-0.00004,-0.00016,7
4.17722,-0.0945,-0.52579,-0.00004,-0.00018,7
4.17705,-0.0945,-0.52579,-0.00004,-0.00019,7
4.17705,-0.09706,-0.52579,-0.00005,-0.0002,7
4.17705,-0.0945,-0.52579,-0.00005,-0.00021,7
4.17688,-0.09706,-0.52579,-0.00005,-0.00022,7
4.17688,-0.0945,-0.52579,-0.00006,-0.00023,7
4.17688,-0.0945,-0.52579,-0.00006,-0.00024,7
4.17672,-0.09706,-0.52579,-0.00006,-0.00025,7
4.17672,-0.0945,-0.52579,-0.00006,-0.00027,7
4.17672,-0.09706,-0.52579,-0.00007,-0.00028,7
4.17672,-0.09706,-0.52579,-0.00007,-0.00029,7
4.17655,-0.09706,-0.52579,-0.00007,-0.0003,7
4.17655,-0.0945,-0.52579,-0.00007,-0.00031,7
4.17655,-0.0945,-0.52579,-0.00008,-0.00032,7
4.17655,-0.0945,-0.52579,-0.00008,-0.00033,7
4.17655,-0.0945,-0.52579,-0.00008,-0.00034,7
4.17655,-0.0945,-0.52579,-0.00009,-0.00036,7
4.17638,-0.0945,-0.52579,-0.00009,-0.00037,7
4.17638,-0.0945,-0.52579,-0.00009,-0.00038,7
4.17638,-0.0945,-0.52579,-0.00009,-0.00039,7
4.17638,-0.0945,-0.52579,-0.0001,-0.0004,7
4.17638,-0.0945,-0.52579,-0.0001,-0.00041,7
4.17638,-0.0945,-0.52579,-0.0001,-0.00042,7
4.17621,-0.0945,-0.52579,-0.0001,-0.00043,7
4.17621,-0.09706,-0.52579,-0.00011,-0.00044,7
4.17621,-0.09706,-0.52579,-0.00011,-0.00046,7
4.17621,-0.0945,-0.52579,-0.00011,-0.00047,7
4.17621,-0.0945,-0.52579,-0.00011,-0.00048,7
4.17621,-0.0945,-0.52579,-0.00012,-0.00049,7
4.17621,-0.0945,-0.52579,-0.00012,-0.0005,7
4.17621,-0.0945,-0.52579,-0.00012,-0.00051,7
4.17604,-0.0945,-0.52579,-0.00013,-0.00052,7
4.17604,-0.09706,-0.52579,-0.00013,-0.00053,7
4.17604,-0.0945,-0.42063,-0.00013,-0.00055,7
4.17604,-0.09706,-0.42063,-0.00013,-0.00056,7
4.17604,-0.09706,-0.42063,-0.00014,-0.00057,7
4.17604,-0.09706,-0.42063,-0.00014,-0.00058,7
4.17604,-0.0945,-0.42063,-0.00014,-0.00059,7
4.17604,-0.0945,-0.42063,-0.00014,-0.0006,7
4.17604,-0.0945,-0.42063,-0.00015,-0.00061,7
4.17604,-0.0945,-0.42063,-0.00015,-0.00062,7
4.17587,-0.0945,-0.42063,-0.00015,-0.00063,7
4.17587,-0.09706,-0.42063,-0.00015,-0.00065,7
4.17587,-0.0945,-0.42063,-0.00016,-0.00066,7
4.17587,-0.09706,-0.42063,-0.00016,-0.00067,7
4.17587,-0.0945,-0.42063,-0.00016,-0.00068,7
4.17587,-0.0945,-0.42063,-0.00017,-0.00069,7
4.17587,-0.09706,-0.42063,-0.00017,-0.0007,7
4.17587,-0.0945,-0.42063,-0.00017,-0.00071,7
4.17587,-0.09706,-0.42063,-0.00017,-0.00072,7
4.17587,-0.0945,-0.42063,-0.00018,-0.00074,7
4.17571,-0.09706,-0.42063,-0.00018,-0.00075,7
4.17571,-0.0945,-0.42063,-0.00018,-0.00076,7
4.17571,-0.0945,-0.42063,-0.00018,-0.00077,7
4.17571,-0.0945,-0.42063,-0.00019,-0.00078,7
4.17571,-0.0945,-0.42063,-0.00019,-0.00079,7
4.17571,-0.09706,-0.42063,-0.00019,-0.0008,7
4.17571,-0.09706,-0.42063,-0.00019,-0.00081,7
4.17571,-0.09706,-0.42063,-0.0002,-0.00083,7
4.17571,-0.0945,-0.42063,-0.0002,-0.00084,7
4.17571,-0.0945,-0.42063,-0.0002,-0.00085,7
4.17571,-0.0945,-0.42063,-0.00021,-0.00086,7
4.17571,-0.09706,-0.42063,-0.00021,-0.00087,7
4.17571,-0.0945,-0.42063,-0.00021,-0.00088,7
4.17571,-0.0945,-0.42063,-0.00021,-0.00089,7
4.17554,-0.09706,-0.42063,-0.00022,-0.0009,7
4.17554,-0.0945,-0.42063,-0.00022,-0.00092,7
4.17554,-0.0945,-0.42063,-0.00022,-0.00093,7
