Voltage,Current,Temperature,Capacity,WhAccu,Cnt
4.19085,0,-9.99006,0,0,1
4.19085,0,-10.09522,0,0,1
4.19085,0,-10.09522,0,0,1
4.19085,0,-9.99006,0,0,1
4.19068,0,-9.99006,0,0,1
4.19068,0,-9.99006,0,0,1
4.19068,0,-9.99006,0,0,1
3.74807,-3.00106,-9.99006,-0.00834,-0.03151,1
3.72599,-3.00106,-9.8849,-0.01667,-0.06264,1
3.71352,-3.00106,-9.77974,-0.025,-0.09364,1
3.70627,-3.00106,-9.77974,-0.03333,-0.12454,1
3.70239,-3.00106,-9.67458,-0.04167,-0.15542,1
3.70037,-3.00106,-9.56943,-0.05,-0.18626,1
3.6997,-3.00106,-9.46427,-0.05833,-0.21708,1
3.70003,-2.9985,-9.35911,-0.06667,-0.24791,1
3.70104,-3.00106,-9.14879,-0.075,-0.27874,1
3.70222,-3.00106,-9.14879,-0.08333,-0.30957,1
3.70357,-3.00106,-9.04363,-0.09166,-0.34044,1
3.70509,-3.00106,-9.04363,-0.1,-0.37131,1
3.70661,-3.00106,-9.04363,-0.10833,-0.4022,1
3.70795,-3.00106,-8.93848,-0.11666,-0.43309,1
3.70913,-2.9985,-8.93848,-0.125,-0.464,1
3.71031,-3.00106,-8.93848,-0.13333,-0.49492,1
3.71116,-2.9985,-8.93848,-0.14166,-0.52584,1
3.712,-2.9985,-8.83332,-0.15,-0.55677,1
3.71267,-3.00106,-8.83332,-0.15834,-0.58772,1
3.71335,-3.00106,-8.72816,-0.16667,-0.61867,1
3.71385,-3.00106,-8.72816,-0.17501,-0.64963,1
3.71436,-2.9985,-8.72816,-0.18334,-0.68058,1
3.71453,-3.00106,-8.623,-0.19167,-0.71151,1
3.71487,-3.00106,-8.623,-0.2,-0.74247,1
3.71487,-3.00106,-8.51784,-0.20834,-0.77343,1
3.71487,-3.00106,-8.623,-0.21667,-0.80438,1
3.7147,-3.00106,-8.51784,-0.225,-0.83534,1
3.71453,-2.9985,-8.51784,-0.23334,-0.8663,1
3.71402,-2.9985,-8.51784,-0.24167,-0.89725,1
3.71352,-3.00106,-8.51784,-0.25,-0.9282,1
3.71284,-3.00106,-8.51784,-0.25834,-0.95915,1
3.712,-3.00106,-8.51784,-0.26667,-0.9901,1
3.71116,-2.9985,-8.51784,-0.27501,-1.02103,1
3.71015,-3.00106,-8.51784,-0.28334,-1.05195,1
3.70913,-3.00106,-8.51784,-0.29167,-1.08286,1
3.70812,-2.9985,-8.51784,-0.3,-1.11374,1
3.70694,-3.00106,-8.41268,-0.30833,-1.14464,1
3.70576,-3.00106,-8.41268,-0.31667,-1.17552,1
3.70441,-3.00106,-8.41268,-0.325,-1.2064,1
3.70307,-3.00106,-8.41268,-0.33334,-1.23728,1
3.70155,-3.00106,-8.41268,-0.34167,-1.26812,1
3.69986,-2.9985,-8.41268,-0.35,-1.29896,1
3.69818,-2.9985,-8.41268,-0.35833,-1.32978,1
3.69649,-3.00106,-8.41268,-0.36667,-1.36059,1
3.69464,-3.00106,-8.51784,-0.37501,-1.39141,1
3.69262,-3.00106,-8.51784,-0.38334,-1.42219,1
