Voltage,Current,Temperature,Capacity,WhAccu,Cnt
3.22689,-5.99956,-17.66663,-0.09998,-0.31682,49
3.36224,-5.997,-15.87894,-0.19995,-0.64742,49
3.39882,-5.99956,-15.03767,-0.29994,-0.98595,49
3.39123,-5.99956,-14.51188,-0.39992,-1.32566,49
3.35735,-5.99956,-14.1964,-0.4999,-1.66319,49
3.30645,-5.99956,-13.77577,-0.59987,-1.9964,49
3.24577,-5.99956,-13.56545,-0.69985,-2.32401,49
3.17902,-5.99956,-13.35513,-0.79983,-2.64522,49
3.10974,-5.997,-13.03966,-0.89981,-2.95963,49
3.03844,-5.99956,-12.82934,-0.99979,-3.26697,49
2.96697,-5.99956,-12.40871,-1.09977,-3.56717,49
2.89432,-5.99956,-12.19839,-1.19975,-3.86021,49
2.81662,-5.99956,-11.77776,-1.29973,-4.14579,49
2.79993,-5.99956,-11.77776,-1.31989,-4.20239,49
3.51845,0,-10.51585,-0.00017,-0.00047,49
3.59514,0,-7.88689,-0.00017,-0.00047,49
3.62785,0,-5.15277,-0.00017,-0.00047,49
3.64622,0,-2.41865,-0.00017,-0.00047,49
3.6592,0,0.52579,-0.00017,-0.00047,49
3.66999,0,3.0496,-0.00017,-0.00047,49
3.6801,0,5.46824,-0.00017,-0.00047,49
3.69089,0,8.51784,-0.00017,-0.00047,49
3.70269,0,11.35712,-0.00017,-0.00047,49
3.71398,0,14.40672,-0.00017,-0.00047,49
3.72393,0,17.246,-0.00017,-0.00047,49
3.73252,0,19.66465,-0.00017,-0.00047,49
3.73944,0,21.03171,-0.00017,-0.00047,49
3.74584,0,21.13686,-0.00017,-0.00047,49
3.75124,0,20.71623,-0.00017,-0.00047,49
3.75511,0,20.82139,-0.00017,-0.00047,49
3.75781,0,21.87297,-0.00017,-0.00047,49
3.75983,0,23.13488,-0.00017,-0.00047,49
3.76118,0,23.66067,-0.00017,-0.00047,49
3.76253,0,23.24004,-0.00017,-0.00047,49
3.76354,0,22.60908,-0.00017,-0.00047,49
3.76438,0,22.18845,-0.00017,-0.00047,49
