Voltage,Current,Temperature,Capacity,WhAccu,Cnt
4.18295,-0.04597,-19.87496,0,0,6
4.17705,-0.08173,-19.87496,0,-0.00001,6
4.17402,-0.09195,-19.87496,-0.00001,-0.00002,6
4.17149,-0.0945,-19.87496,-0.00001,-0.00004,6
4.16947,-0.0945,-19.87496,-0.00001,-0.00005,6
4.16761,-0.0945,-19.87496,-0.00001,-0.00006,6
4.16593,-0.0945,-19.87496,-0.00002,-0.00007,6
4.16441,-0.0945,-19.87496,-0.00002,-0.00008,6
4.16273,-0.09706,-19.87496,-0.00002,-0.00009,6
4.16155,-0.09706,-19.87496,-0.00002,-0.0001,6
4.16003,-0.0945,-19.87496,-0.00003,-0.00011,6
4.15868,-0.0945,-19.87496,-0.00003,-0.00012,6
4.15733,-0.0945,-19.87496,-0.00003,-0.00013,6
4.15615,-0.0945,-19.87496,-0.00004,-0.00015,6
4.15497,-0.09706,-19.87496,-0.00004,-0.00016,6
4.15379,-0.09706,-19.87496,-0.00004,-0.00017,6
4.15261,-0.0945,-19.87496,-0.00004,-0.00018,6
4.1516,-0.09706,-19.87496,-0.00005,-0.00019,6
4.15042,-0.0945,-19.87496,-0.00005,-0.0002,6
4.14941,-0.09706,-19.87496,-0.00005,-0.00021,6
4.14823,-0.0945,-19.87496,-0.00005,-0.00022,6
4.14739,-0.09706,-19.87496,-0.00006,-0.00023,6
4.14638,-0.09706,-19.87496,-0.00006,-0.00025,6
4.14553,-0.0945,-19.87496,-0.00006,-0.00026,6
4.14452,-0.0945,-19.87496,-0.00006,-0.00027,6
4.14368,-0.09706,-19.87496,-0.00007,-0.00028,6
4.14284,-0.09706,-19.87496,-0.00007,-0.00029,6
4.14199,-0.0945,-19.87496,-0.00007,-0.0003,6
4.14132,-0.0945,-19.87496,-0.00008,-0.00031,6
4.14064,-0.09706,-19.87496,-0.00008,-0.00032,6
4.1398,-0.09706,-19.87496,-0.00008,-0.00034,6
4.13896,-0.0945,-19.87496,-0.00008,-0.00035,6
4.13829,-0.0945,-19.87496,-0.00009,-0.00036,6
4.13761,-0.0945,-19.87496,-0.00009,-0.00037,6
4.13694,-0.0945,-19.87496,-0.00009,-0.00038,6
4.13643,-0.0945,-19.87496,-0.00009,-0.00039,6
4.13576,-0.0945,-19.87496,-0.0001,-0.0004,6
4.13525,-0.0945,-19.87496,-0.0001,-0.00041,6
4.13458,-0.0945,-19.87496,-0.0001,-0.00042,6
4.13407,-0.09706,-19.87496,-0.0001,-0.00043,6
4.1334,-0.0945,-19.87496,-0.00011,-0.00045,6
4.13289,-0.0945,-19.87496,-0.00011,-0.00046,6
4.13255,-0.09706,-19.87496,-0.00011,-0.00047,6
4.13205,-0.09706,-19.87496,-0.00012,-0.00048,6
4.13137,-0.0945,-19.87496,-0.00012,-0.00049,6
4.13104,-0.0945,-19.87496,-0.00012,-0.0005,6
4.13053,-0.0945,-19.87496,-0.00012,-0.00051,6
4.13003,-0.0945,-19.87496,-0.00013,-0.00052,6
4.12969,-0.09706,-19.87496,-0.00013,-0.00053,6
4.12935,-0.09706,-19.87496,-0.00013,-0.00055,6
4.12885,-0.0945,-19.87496,-0.00013,-0.00056,6
4.12851,-0.0945,-19.87496,-0.00014,-0.00057,6
4.12817,-0.0945,-19.87496,-0.00014,-0.00058,6
4.12767,-0.0945,-19.87496,-0.00014,-0.00059,6
4.12733,-0.09706,-19.87496,-0.00015,-0.0006,6
4.12699,-0.09706,-19.87496,-0.00015,-0.00061,6
4.12665,-0.0945,-19.87496,-0.00015,-0.00062,6
4.12632,-0.0945,-19.87496,-0.00015,-0.00063,6
4.12598,-0.0945,-19.87496,-0.00016,-0.00065,6
4.12564,-0.0945,-19.87496,-0.00016,-0.00066,6
4.12547,-0.0945,-19.87496,-0.00016,-0.00067,6
4.12514,-0.09706,-19.87496,-0.00016,-0.00068,6
4.1248,-0.0945,-19.87496,-0.00017,-0.00069,6
4.12463,-0.09706,-19.87496,-0.00017,-0.0007,6
4.12429,-0.0945,-19.87496,-0.00017,-0.00071,6
4.12396,-0.0945,-19.87496,-0.00017,-0.00072,6
4.12379,-0.09706,-19.87496,-0.00018,-0.00073,6
4.12345,-0.0945,-19.87496,-0.00018,-0.00074,6
4.12328,-0.0945,-19.87496,-0.00018,-0.00075,6
4.12311,-0.0945,-19.87496,-0.00018,-0.00077,6
4.12278,-0.09706,-19.87496,-0.00019,-0.00078,6
4.12261,-0.0945,-19.87496,-0.00019,-0.00079,6
4.12244,-0.0945,-19.87496,-0.00019,-0.0008,6
4.1221,-0.0945,-19.87496,-0.0002,-0.00081,6
4.12193,-0.09706,-19.87496,-0.0002,-0.00082,6
4.12177,-0.0945,-19.87496,-0.0002,-0.00083,6
4.1216,-0.0945,-19.87496,-0.0002,-0.00084,6
4.12143,-0.0945,-19.87496,-0.00021,-0.00085,6
4.12126,-0.0945,-19.87496,-0.00021,-0.00086,6
4.12109,-0.0945,-19.87496,-0.00021,-0.00088,6
4.12092,-0.09706,-19.87496,-0.00021,-0.00089,6
4.12075,-0.0945,-19.87496,-0.00022,-0.0009,6
4.12059,-0.0945,-19.87496,-0.00022,-0.00091,6
4.12042,-0.09706,-19.87496,-0.00022,-0.00092,6
4.12025,-0.09706,-19.87496,-0.00023,-0.00093,6
4.12008,-0.0945,-19.87496,-0.00023,-0.00094,6
4.11991,-0.0945,-19.87496,-0.00023,-0.00095,6
4.11991,-0.0945,-19.87496,-0.00023,-0.00096,6
4.11974,-0.0945,-19.87496,-0.00024,-0.00098,6
4.11957,-0.0945,-19.87496,-0.00024,-0.00099,6
4.11941,-0.09706,-19.87496,-0.00024,-0.001,6
4.11941,-0.0945,-19.87496,-0.00024,-0.00101,6
4.11924,-0.0945,-19.87496,-0.00025,-0.00102,6
4.11907,-0.0945,-19.87496,-0.00025,-0.00103,6
4.11907,-0.0945,-19.87496,-0.00025,-0.00104,6
4.1189,-0.0945,-19.87496,-0.00025,-0.00105,6
4.11873,-0.0945,-19.87496,-0.00026,-0.00106,6
4.11873,-0.09706,-19.87496,-0.00026,-0.00107,6
4.11856,-0.09706,-19.87496,-0.00026,-0.00109,6
4.1184,-0.0945,-19.87496,-0.00027,-0.0011,6
4.1039,-0.26307,-19.87496,-0.00027,-0.00112,6
4.08148,-0.40099,-19.87496,-0.00028,-0.00117,6
4.07137,-0.4342,-19.87496,-0.00029,-0.00122,6
4.06176,-0.44697,-19.87496,-0.00031,-0.00127,6
4.05519,-0.45207,-19.87496,-0.00032,-0.00132,6
4.04844,-0.45207,-19.87496,-0.00033,-0.00137,6
4.04288,-0.45463,-19.87496,-0.00034,-0.00142,6
4.03766,-0.45463,-19.87496,-0.00036,-0.00147,6
4.03243,-0.45463,-19.87496,-0.00037,-0.00152,6
4.02872,-0.45718,-19.87496,-0.00038,-0.00157,6
3.99619,-0.78921,-19.87496,-0.0004,-0.00165,6
3.95304,-1.05995,-19.87496,-0.00043,-0.00177,6
3.92691,-1.14423,-19.87496,-0.00046,-0.00189,6
3.90871,-1.17488,-19.87496,-0.0005,-0.00202,6
3.89455,-1.1851,-19.87496,-0.00053,-0.00215,6
3.88275,-1.19276,-19.87496,-0.00056,-0.00228,6
3.87281,-1.19531,-19.87496,-0.0006,-0.00241,6
3.86438,-1.19787,-19.87496,-0.00063,-0.00253,6
3.8578,-1.20042,-19.87496,-0.00066,-0.00267,6
3.85123,-1.20298,-19.87496,-0.0007,-0.00279,6
3.82207,-1.52479,-19.87496,-0.00074,-0.00296,6
3.77605,-1.85682,-19.87496,-0.00079,-0.00315,6
3.75262,-1.95388,-19.87496,-0.00084,-0.00335,6
3.73779,-1.98708,-19.87496,-0.0009,-0.00356,6
3.72801,-2.00241,-19.87496,-0.00095,-0.00377,6
3.71992,-2.01007,-19.87496,-0.00101,-0.00398,6
3.71419,-2.01518,-19.87496,-0.00106,-0.00417,6
3.70795,-2.02028,-19.87496,-0.00112,-0.00439,6
3.70458,-2.02284,-19.87496,-0.00118,-0.0046,6
3.70138,-2.02539,-19.87496,-0.00124,-0.00481,6
3.66598,-2.44426,-19.98012,-0.0013,-0.00504,6
3.62806,-2.7482,-19.98012,-0.00138,-0.00532,6
3.61221,-2.82738,-19.98012,-0.00146,-0.00562,6
3.60041,-2.86824,-19.87496,-0.00154,-0.0059,6
3.59215,-2.88612,-19.87496,-0.00161,-0.00618,6
3.58676,-2.89378,-19.87496,-0.00169,-0.00647,6
3.58221,-2.89889,-19.87496,-0.00178,-0.00676,6
3.57934,-2.90145,-19.87496,-0.00186,-0.00705,6
3.57614,-2.90655,-19.87496,-0.00194,-0.00733,6
3.57344,-2.90655,-19.87496,-0.00202,-0.00762,6
3.54327,-3.3101,-19.87496,-0.00211,-0.00795,6
3.50922,-3.63447,-19.87496,-0.00221,-0.0083,6
3.48866,-3.76984,-19.87496,-0.00231,-0.00866,6
3.47821,-3.81326,-19.87496,-0.00242,-0.00903,6
3.47164,-3.83369,-19.87496,-0.00253,-0.00941,6
