Voltage,Current,Temperature,Capacity,WhAccu,Cnt
3.60357,0,-17.98211,0,0,5
3.60509,0,-14.40672,0,0,5
3.6061,0,-10.30554,0,0,5
3.60694,0,-6.51983,0,0,5
3.60762,0,-2.73412,0,0,5
3.60863,0,0.73611,0,0,5
3.61015,0,3.99602,0,0,5
3.61267,0,7.3611,0,0,5
3.61655,0,10.62101,0,0,5
3.62211,0,13.77577,0,0,5
3.62953,0,16.82537,0,0,5
3.63813,0,19.24401,0,0,5
3.64656,0,19.66465,0,0,5
3.65414,0,19.55949,0,0,5
3.66038,0,20.82139,0,0,5
3.66527,0,22.29361,0,0,5
3.66898,0,22.39877,0,0,5
3.67201,0,22.08329,0,0,5
3.67454,0,21.45234,0,0,5
3.67673,0,22.29361,0,0,5
3.67858,0,23.76583,0,0,5
3.6801,0,23.87099,0,0,5
3.68145,0,22.8194,0,0,5
3.68246,0,21.97813,0,0,5
3.6833,0,22.60908,0,0,5
3.68398,0,23.97615,0,0,5
3.68448,0,24.39678,0,0,5
3.68499,0,23.66067,0,0,5
3.68533,0,22.60908,0,0,5
3.68566,0,22.50393,0,0,5
3.68583,0,23.87099,0,0,5
3.68617,0,24.50194,0,0,5
3.68634,0,24.0813,0,0,5
3.68651,0,23.24004,0,0,5
3.68667,0,22.71424,0,0,5
3.68684,0,23.02972,0,0,5
3.68701,0,23.97615,0,0,5
3.68701,0,24.39678,0,0,5
3.68718,0,24.18646,0,0,5
3.68718,0,23.76583,0,0,5
3.68735,0,23.24004,0,0,5
3.68752,0,23.02972,0,0,5
3.68752,0,23.45035,0,0,5
3.68752,0,24.0813,0,0,5
3.68769,0,24.29162,0,0,5
3.68769,0,24.0813,0,0,5
3.68769,0,23.76583,0,0,5
3.68785,0,23.45035,0,0,5
3.68785,0,23.34519,0,0,5
3.68785,0,23.66067,0,0,5
3.68802,0,23.87099,0,0,5
3.68802,0,23.97615,0,0,5
3.68802,0,23.87099,0,0,5
3.68802,0,23.66067,0,0,5
3.68802,0,23.55551,0,0,5
3.68802,0,23.76583,0,0,5
3.68819,0,23.87099,0,0,5
3.68819,0,23.76583,0,0,5
3.68819,0,23.76583,0,0,5
3.68819,0,23.87099,0,0,5
3.68819,0,23.87099,0,0,5
3.80686,2.99853,23.87099,0.04998,0.18931,5
3.83113,2.99853,24.0813,0.09995,0.38018,5
3.85575,2.99853,24.29162,0.14993,0.57226,5
3.87901,2.99853,24.39678,0.19991,0.76556,5
3.89991,2.99853,24.39678,0.24989,0.95995,5
3.91929,2.99853,24.50194,0.29986,1.15534,5
3.938,2.99853,24.6071,0.34984,1.35169,5
3.95638,2.99853,24.6071,0.39982,1.54897,5
3.97441,2.99853,24.6071,0.4498,1.74717,5
3.99211,3.00108,24.71226,0.49978,1.94625,5
4.00948,2.99853,24.71226,0.54976,2.1462,5
4.02701,2.99853,24.71226,0.59974,2.34703,5
4.04521,2.99853,24.81741,0.64972,2.54874,5
4.0646,2.99853,24.81741,0.69969,2.75138,5
4.08516,2.99853,24.71226,0.74967,2.95503,5
4.10707,2.99853,24.71226,0.79965,3.15975,5
4.13,2.99853,24.81741,0.84963,3.36557,5
4.15394,2.99853,24.71226,0.89961,3.57259,5
4.17787,2.99853,24.81741,0.94958,3.78079,5
4.19995,2.95,24.81741,0.99953,3.99005,5
4.19995,2.48771,24.92257,1.04431,4.1781,5
4.19995,2.22208,24.71226,1.08343,4.34243,5
4.19995,2.03563,24.71226,1.11881,4.49102,5
4.19979,1.88749,24.6071,1.15145,4.62807,5
4.19979,1.77,24.6071,1.1819,4.75597,5
4.19979,1.66273,24.6071,1.21048,4.87602,5
4.19979,1.57078,24.50194,1.2374,4.98908,5
4.19979,1.47883,24.39678,1.26279,5.09571,5
4.19979,1.39199,24.39678,1.28672,5.19621,5
4.19979,1.31026,24.39678,1.30925,5.2908,5
4.19979,1.23364,24.39678,1.33043,5.37975,5
4.19979,1.14935,24.18646,1.35026,5.46305,5
4.19979,1.07273,24.29162,1.36877,5.54081,5
4.19979,0.99355,24.29162,1.38599,5.61311,5
4.19979,0.91693,24.18646,1.40193,5.68004,5
4.19979,0.84286,24.18646,1.41659,5.74162,5
4.19979,0.76879,24.18646,1.43,5.79795,5
4.19979,0.69727,24.18646,1.44222,5.84927,5
4.19979,0.63087,24.0813,1.4533,5.8958,5
4.19979,0.56957,23.97615,1.4633,5.9378,5
4.19979,0.51338,24.0813,1.47231,5.97565,5
4.19979,0.45974,23.97615,1.48043,6.00972,5
4.19979,0.41377,23.97615,1.48771,6.04032,5
4.19979,0.37035,23.76583,1.49424,6.06773,5
4.19979,0.33203,24.0813,1.50008,6.09226,5
4.19979,0.29628,24.0813,1.50531,6.11421,5
4.19979,0.26563,23.97615,1.50999,6.1339,5
4.19979,0.23753,23.76583,1.5142,6.15155,5
4.19979,0.21455,23.76583,1.51795,6.16733,5
4.19979,0.19156,23.97615,1.52133,6.18152,5
4.19979,0.17368,24.0813,1.52439,6.19435,5
4.19979,0.15836,23.87099,1.52715,6.20597,5
4.19979,0.14303,23.76583,1.52966,6.2165,5
4.19979,0.13026,23.87099,1.53192,6.22597,5
4.19979,0.11749,23.97615,1.53397,6.23459,5
4.19979,0.10727,23.97615,1.53584,6.24244,5
4.19979,0.09961,23.87099,1.53755,6.24963,5
4.19979,0.08939,23.76583,1.53912,6.25623,5
4.19979,0.08429,23.97615,1.54057,6.2623,5
4.19979,0.07662,23.87099,1.54189,6.26787,5
4.19979,0.06896,23.97615,1.54311,6.27299,5
4.19979,0.06385,23.87099,1.54423,6.27767,5
4.19979,0.05874,23.87099,1.54525,6.28197,5
4.19979,0.05619,23.76583,1.54621,6.28599,5
4.19979,0.05108,23.87099,1.5471,6.28972,5
4.19979,0.04853,23.87099,1.54753,6.29155,5
4.19675,0,23.76583,1.54753,6.29155,6
4.19675,0,23.76583,1.54753,6.29155,6
4.19557,0,17.87695,1.54753,6.29155,6
4.19473,0,14.82735,1.54753,6.29155,6
4.19405,0,12.19839,1.54753,6.29155,6
4.19338,0,9.77974,1.54753,6.29155,6
4.19287,0,7.67657,1.54753,6.29155,6
4.19237,0,5.46824,1.54753,6.29155,6
4.19186,0,3.36507,1.54753,6.29155,6
4.19153,0,1.36706,1.54753,6.29155,6
4.19102,0,-0.52579,1.54753,6.29155,6
4.19068,0,-2.41865,1.54753,6.29155,6
4.19035,0,-4.3115,1.54753,6.29155,6
4.19001,0,-6.20435,1.54753,6.29155,6
4.18984,0,-7.67657,1.54753,6.29155,6
4.1895,0,-9.25395,1.54753,6.29155,6
4.18933,0,-11.1468,1.54753,6.29155,6
4.189,0,-12.72418,1.54753,6.29155,6
4.18866,0,-14.09124,1.54753,6.29155,6
4.18849,0,-15.14283,1.54753,6.29155,6
4.18832,0,-16.82537,1.54753,6.29155,6
4.18799,0,-17.56147,1.54753,6.29155,6
4.18782,0,-18.08727,1.54753,6.29155,6
4.18765,0,-18.5079,1.54753,6.29155,6
4.18765,0,-18.71822,1.54753,6.29155,6
4.18748,0,-18.82338,1.54753,6.29155,6
4.18731,0,-19.24401,1.54753,6.29155,6
4.18714,0,-19.24401,1.54753,6.29155,6
4.18714,0,-19.34917,1.54753,6.29155,6
4.18714,0,-19.45433,1.54753,6.29155,6
4.18714,0,-19.45433,1.54753,6.29155,6
4.18714,0,-19.55949,1.54753,6.29155,6
4.18697,0,-19.45433,1.54753,6.29155,6
4.18697,0,-19.45433,1.54753,6.29155,6
4.18697,0,-19.66465,1.54753,6.29155,6
4.18681,0,-19.66465,1.54753,6.29155,6
4.18681,0,-19.7698,1.54753,6.29155,6
4.18681,0,-19.87496,1.54753,6.29155,6
4.18681,0,-19.87496,1.54753,6.29155,6
4.18681,0,-19.87496,1.54753,6.29155,6
4.18681,0,-19.87496,1.54753,6.29155,6
4.18681,0,-19.98012,1.54753,6.29155,6
4.18664,0,-19.98012,1.54753,6.29155,6
4.18664,0,-19.98012,1.54753,6.29155,6
4.18664,0,-19.98012,1.54753,6.29155,6
4.18664,0,-19.98012,1.54753,6.29155,6
4.18664,0,-19.98012,1.54753,6.29155,6
4.18664,0,-19.98012,1.54753,6.29155,6
4.18647,0,-19.98012,1.54753,6.29155,6
4.18647,0,-19.98012,1.54753,6.29155,6
4.18647,0,-19.98012,1.54753,6.29155,6
4.18647,0,-19.98012,1.54753,6.29155,6
4.18647,0,-19.87496,1.54753,6.29155,6
4.18647,0,-19.87496,1.54753,6.29155,6
4.18647,0,-19.98012,1.54753,6.29155,6
4.18647,0,-19.98012,1.54753,6.29155,6
4.18647,0,-19.87496,1.54753,6.29155,6
4.1863,0,-19.7698,1.54753,6.29155,6
4.1863,0,-19.87496,1.54753,6.29155,6
4.1863,0,-19.87496,1.54753,6.29155,6
4.1863,0,-20.08528,1.54753,6.29155,6
4.1863,0,-19.98012,1.54753,6.29155,6
4.1863,0,-19.98012,1.54753,6.29155,6
